Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,9.250000,9.550000,8.990000,9.510000,9.510000,176500
2010-01-08,9.450000,9.640000,9.000000,9.090000,9.090000,169300
2010-01-15,9.000000,9.720000,8.760000,9.570000,9.570000,138200
2010-01-22,9.100000,9.230000,8.260000,8.820000,8.820000,102700
2010-01-29,8.920000,9.170000,8.310000,8.430000,8.430000,94500
2010-02-05,8.320000,8.740000,8.200000,8.400000,8.400000,38200
2010-02-12,8.400000,8.860000,8.270000,8.450000,8.450000,49400
2010-02-19,8.500000,8.500000,7.900000,8.010000,8.010000,127800
2010-02-26,8.050000,8.160000,7.900000,8.000000,8.000000,85100
2010-03-05,8.000000,8.120000,7.830000,7.960000,7.960000,98100
2010-03-12,7.970000,8.900000,7.960000,8.900000,8.900000,398300
2010-03-19,6.300000,7.970000,6.200000,6.300000,6.300000,1677300
2010-03-26,6.310000,6.390000,5.520000,5.620000,5.620000,541400
2010-04-02,5.590000,5.910000,5.530000,5.850000,5.850000,299100
2010-04-09,5.900000,5.980000,5.620000,5.720000,5.720000,203600
2010-04-16,5.760000,5.880000,5.440000,5.610000,5.610000,275900
2010-04-23,5.560000,5.750000,4.640000,4.900000,4.900000,389600
2010-04-30,4.930000,5.370000,4.800000,5.150000,5.150000,201900
2010-05-07,5.200000,5.980000,5.000000,5.830000,5.830000,126000
2010-05-14,5.530000,6.150000,5.340000,6.080000,6.080000,236500
2010-05-21,6.010000,6.280000,5.800000,6.260000,6.260000,157300
2010-05-28,6.260000,6.260000,6.020000,6.100000,6.100000,30900
2010-06-04,6.020000,6.070000,5.630000,5.760000,5.760000,84800
2010-06-11,5.770000,5.880000,5.510000,5.640000,5.640000,22400
2010-06-18,5.690000,5.940000,5.500000,5.850000,5.850000,40100
2010-06-25,5.830000,6.250000,5.610000,5.750000,5.750000,50500
2010-07-02,5.630000,5.750000,5.060000,5.200000,5.200000,55900
2010-07-09,5.100000,5.590000,5.010000,5.320000,5.320000,10200
2010-07-16,5.320000,5.480000,4.850000,4.870000,4.870000,19100
2010-07-23,5.000000,5.570000,4.450000,5.330000,5.330000,106200
2010-07-30,5.390000,5.500000,5.070000,5.340000,5.340000,34900
2010-08-06,5.270000,5.280000,4.580000,4.710000,4.710000,29500
2010-08-13,4.740000,5.220000,4.630000,5.220000,5.220000,14000
2010-08-20,5.100000,5.160000,4.700000,4.750000,4.750000,15600
2010-08-27,5.090000,5.230000,4.700000,4.700000,4.700000,44700
2010-09-03,4.700000,4.880000,4.260000,4.680000,4.680000,33600
2010-09-10,4.680000,5.000000,4.470000,4.750000,4.750000,199600
2010-09-17,4.750000,4.800000,4.420000,4.450000,4.450000,87900
2010-09-24,4.350000,4.620000,3.750000,3.970000,3.970000,315700
2010-10-01,3.970000,4.030000,3.650000,4.020000,4.020000,167400
2010-10-08,4.020000,4.020000,3.550000,3.750000,3.750000,238200
2010-10-15,3.700000,3.800000,3.500000,3.540000,3.540000,351900
2010-10-22,3.520000,3.520000,2.920000,3.030000,3.030000,512900
2010-10-29,3.020000,3.400000,2.800000,3.400000,3.400000,591300
2010-11-05,3.660000,4.240000,3.660000,3.850000,3.850000,283000
2010-11-12,3.880000,4.220000,3.800000,4.210000,4.210000,114000
2010-11-19,4.170000,4.260000,4.050000,4.120000,4.120000,35000
2010-11-26,4.120000,4.300000,4.020000,4.020000,4.020000,183300
2010-12-03,4.140000,4.240000,3.800000,3.860000,3.860000,119900
2010-12-10,3.770000,4.630000,3.720000,4.520000,4.520000,212000
2010-12-17,4.580000,4.600000,4.000000,4.140000,4.140000,159800
2010-12-24,4.180000,4.240000,4.050000,4.200000,4.200000,141000
2010-12-31,4.150000,4.860000,4.080000,4.760000,4.760000,237800
2011-01-07,4.810000,5.030000,4.540000,4.720000,4.720000,168000
2011-01-14,4.740000,4.800000,4.310000,4.430000,4.430000,112700
2011-01-21,4.360000,4.770000,4.340000,4.770000,4.770000,139400
2011-01-28,4.760000,4.760000,4.440000,4.540000,4.540000,89600
2011-02-04,4.460000,4.780000,4.260000,4.780000,4.780000,82000
2011-02-11,4.780000,4.950000,4.400000,4.540000,4.540000,76700
2011-02-18,4.600000,4.600000,4.000000,4.330000,4.330000,193500
2011-02-25,4.370000,4.700000,4.370000,4.690000,4.690000,82600
2011-03-04,4.690000,5.300000,4.690000,4.780000,4.780000,583800
2011-03-11,4.790000,4.990000,3.560000,4.730000,4.730000,100200
2011-03-18,4.910000,5.230000,4.680000,5.030000,5.030000,108100
2011-03-25,5.010000,5.100000,4.900000,5.010000,5.010000,53600
2011-04-01,5.050000,5.270000,4.990000,5.200000,5.200000,142600
2011-04-08,5.160000,5.730000,4.970000,5.510000,5.510000,277200
2011-04-15,5.560000,6.210000,5.270000,5.930000,5.930000,215500
2011-04-22,6.110000,6.130000,5.500000,5.960000,5.960000,172400
2011-04-29,6.020000,6.160000,5.520000,5.730000,5.730000,121700
2011-05-06,5.500000,6.030000,5.470000,6.000000,6.000000,232500
2011-05-13,5.900000,6.090000,5.820000,6.090000,6.090000,173700
2011-05-20,6.100000,6.100000,5.340000,5.510000,5.510000,122000
2011-05-27,5.480000,5.880000,5.390000,5.840000,5.840000,53600
2011-06-03,5.630000,6.000000,5.510000,5.650000,5.650000,80600
2011-06-10,5.620000,5.900000,5.300000,5.430000,5.430000,151600
2011-06-17,5.540000,5.640000,4.860000,5.060000,5.060000,251500
2011-06-24,5.200000,5.560000,5.090000,5.430000,5.430000,88200
2011-07-01,5.450000,6.120000,5.450000,5.920000,5.920000,137300
2011-07-08,6.000000,6.190000,5.910000,6.030000,6.030000,266200
2011-07-15,6.190000,6.200000,5.890000,6.080000,6.080000,130800
2011-07-22,6.100000,6.200000,5.620000,5.790000,5.790000,181300
2011-07-29,5.790000,6.380000,4.940000,5.000000,5.000000,184800
2011-08-05,5.000000,5.000000,3.760000,4.550000,4.550000,235500
2011-08-12,4.660000,4.920000,4.550000,4.630000,4.630000,101200
2011-08-19,4.630000,4.840000,4.500000,4.740000,4.740000,51400
2011-08-26,4.700000,5.190000,4.570000,4.990000,4.990000,136200
2011-09-02,4.950000,5.080000,4.500000,4.860000,4.860000,56200
2011-09-09,4.750000,5.000000,4.610000,4.760000,4.760000,31900
2011-09-16,4.760000,4.770000,3.960000,4.050000,4.050000,107900
2011-09-23,3.990000,4.240000,3.960000,4.100000,4.100000,54700
2011-09-30,4.090000,4.150000,3.250000,3.870000,3.870000,63300
2011-10-07,3.990000,4.040000,3.760000,4.010000,4.010000,66000
2011-10-14,4.030000,4.060000,3.760000,3.860000,3.860000,92500
2011-10-21,3.870000,4.000000,3.630000,3.860000,3.860000,89400
2011-10-28,3.850000,3.930000,3.810000,3.880000,3.880000,41000
2011-11-04,3.890000,4.060000,3.750000,3.970000,3.970000,87200
2011-11-11,3.980000,4.000000,3.900000,3.910000,3.910000,34800
2011-11-18,3.950000,4.000000,3.570000,3.990000,3.990000,37800
2011-11-25,3.960000,3.960000,3.560000,3.750000,3.750000,47200
2011-12-02,3.760000,3.860000,3.500000,3.510000,3.510000,58500
2011-12-09,3.510000,3.730000,3.460000,3.550000,3.550000,50900
