Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,18.160000,18.190001,17.940001,18.030001,5.050826,249700
2010-01-08,18.020000,18.139999,17.840000,17.950001,5.028413,261300
2010-01-15,18.000000,18.090000,17.709999,17.790001,4.983594,409400
2010-01-22,17.820000,18.000000,17.430000,17.520000,4.907956,363500
2010-01-29,17.670000,17.930000,17.410000,17.830000,4.994798,441800
2010-02-05,17.879999,17.879999,17.410000,17.650000,4.944374,282100
2010-02-12,17.660000,18.080000,17.660000,18.000000,5.042420,134600
2010-02-19,18.000000,18.010000,17.590000,17.770000,4.977989,188000
2010-02-26,17.770000,17.930000,17.600000,17.799999,4.986395,314200
2010-03-05,17.840000,18.240000,17.820000,18.150000,5.084440,470800
2010-03-12,18.200001,18.250000,17.920000,18.180000,5.092845,145300
2010-03-19,18.120001,18.299999,17.900000,18.030001,5.050826,189100
2010-03-26,18.129999,18.250000,17.650000,17.930000,5.022811,254700
2010-04-02,18.000000,18.389999,17.910000,18.309999,5.230976,218500
2010-04-09,18.309999,18.480000,18.030001,18.469999,5.276685,172800
2010-04-16,18.469999,18.490000,18.010000,18.070000,5.162410,297000
2010-04-23,18.180000,18.200001,17.950001,18.040001,5.153839,196800
2010-04-30,18.000000,18.290001,17.549999,17.690001,5.053849,504300
2010-05-07,17.549999,17.850000,17.370001,17.520000,5.005281,409700
2010-05-14,17.440001,17.620001,16.660000,16.660000,4.759588,408300
2010-05-21,16.620001,17.129999,16.250000,17.070000,4.876720,481300
2010-05-28,17.100000,17.100000,16.530001,16.809999,4.802440,201900
2010-06-04,16.549999,16.830000,15.750000,16.389999,4.682451,641800
2010-06-11,16.270000,17.040001,16.240000,16.889999,4.825296,354300
2010-06-18,16.990000,17.260000,16.580000,16.760000,4.788157,402200
2010-06-25,16.850000,17.450001,16.200001,16.420000,4.691023,806900
2010-07-02,16.490000,16.639999,16.160000,16.610001,4.842713,235100
2010-07-09,16.580000,17.010000,16.469999,16.690001,4.866039,294300
2010-07-16,16.629999,17.120001,16.090000,16.750000,4.883532,285600
2010-07-23,16.750000,17.090000,16.480000,16.790001,4.895194,142800
2010-07-30,16.650000,17.100000,16.650000,16.950001,4.941843,145700
2010-08-06,16.790001,17.150000,16.410000,16.950001,4.941843,196600
2010-08-13,16.900000,17.180000,16.580000,16.889999,4.924349,214900
2010-08-20,16.780001,17.059999,16.620001,16.700001,4.868954,191500
2010-08-27,16.809999,17.320000,16.680000,17.250000,5.029310,536100
2010-09-03,17.420000,17.450001,17.150000,17.250000,5.029310,180900
2010-09-10,17.350000,17.610001,15.940000,16.100000,4.694021,2639000
2010-09-17,16.030001,16.700001,15.950000,16.129999,4.702769,6749500
2010-09-24,16.200001,16.570000,16.000000,16.070000,4.685275,2367900
2010-10-01,16.100000,16.360001,16.000000,16.230000,4.850000,1013000
2010-10-08,16.209999,16.549999,16.150000,16.540001,4.942637,773800
2010-10-15,16.590000,16.590000,16.100000,16.280001,4.864942,785800
2010-10-22,16.320000,16.469999,16.170000,16.340000,4.882871,547400
2010-10-29,16.340000,16.559999,16.260000,16.549999,4.945624,592900
2010-11-05,16.559999,17.139999,16.559999,16.830000,5.029298,1077100
2010-11-12,16.820000,16.980000,16.160000,16.280001,4.864942,1111700
2010-11-19,16.280001,16.350000,16.160000,16.330000,4.879883,358100
2010-11-26,16.270000,16.700001,16.190001,16.379999,4.894825,617400
2010-12-03,16.270000,16.799999,16.270000,16.480000,4.924707,653500
2010-12-10,16.450001,16.760000,16.340000,16.410000,4.903790,493700
2010-12-17,16.430000,16.809999,16.350000,16.780001,5.014357,779700
2010-12-24,16.780001,16.920000,16.209999,16.360001,4.888847,450000
2010-12-31,16.330000,16.590000,16.240000,16.379999,5.013848,657800
2011-01-07,16.420000,16.559999,16.260000,16.330000,4.998544,333700
2011-01-14,16.299999,16.520000,16.299999,16.320000,4.995482,313500
2011-01-21,16.350000,16.570000,16.219999,16.420000,5.026091,631100
2011-01-28,16.420000,16.700001,16.219999,16.690001,5.108737,506000
2011-02-04,16.709999,16.780001,16.379999,16.740000,5.124042,300700
2011-02-11,16.740000,17.110001,16.600000,17.059999,5.221993,453800
2011-02-18,17.040001,17.059999,16.520000,16.700001,5.111798,288400
2011-02-25,16.760000,17.080000,16.660000,16.770000,5.133225,396600
2011-03-04,16.799999,17.070000,16.730000,16.860001,5.160773,403800
2011-03-11,16.870001,17.000000,16.559999,16.700001,5.111798,333800
2011-03-18,16.709999,16.900000,16.670000,16.760000,5.130165,566000
2011-03-25,16.830000,16.959999,16.250000,16.350000,5.004665,484800
2011-04-01,16.400000,16.580000,16.170000,16.190001,5.076561,547300
2011-04-08,16.260000,16.340000,15.810000,15.930000,4.995034,613700
2011-04-15,15.900000,16.240000,15.880000,16.030001,5.026391,378300
2011-04-22,16.090000,16.400000,15.960000,16.370001,5.133001,236200
2011-04-29,16.389999,16.389999,16.150000,16.190001,5.076561,352000
2011-05-06,16.230000,16.450001,16.049999,16.090000,5.045206,304000
2011-05-13,16.150000,16.309999,16.020000,16.219999,5.085968,290700
2011-05-20,16.200001,16.280001,16.040001,16.230000,5.089103,349400
2011-05-27,16.280001,16.330000,16.120001,16.250000,5.095375,346000
2011-06-03,16.209999,16.250000,16.020000,16.020000,5.023255,412200
2011-06-10,16.020000,16.129999,15.890000,15.960000,5.004441,490400
2011-06-17,16.010000,16.410000,16.000000,16.400000,5.142407,516000
2011-06-24,16.410000,16.500000,16.000000,16.120001,5.054612,483500
2011-07-01,16.139999,16.469999,16.110001,16.330000,5.248150,323400
