Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,10.030000,10.220000,9.420000,9.980000,9.980000,517300
2010-01-08,9.910000,10.160000,9.320000,9.790000,9.790000,299500
2010-01-15,9.840000,9.840000,9.100000,9.160000,9.160000,366600
2010-01-22,9.140000,9.500000,8.950000,9.080000,9.080000,368500
2010-01-29,9.150000,9.230000,8.720000,8.720000,8.720000,371900
2010-02-05,8.740000,9.280000,8.500000,9.260000,9.260000,466600
2010-02-12,9.120000,9.980000,8.870000,9.970000,9.970000,179400
2010-02-19,9.970000,10.360000,9.640000,10.150000,10.150000,273800
2010-02-26,10.190000,10.190000,9.670000,9.710000,9.710000,544000
2010-03-05,9.770000,10.130000,9.490000,9.830000,9.830000,558300
2010-03-12,9.850000,9.990000,9.500000,9.810000,9.810000,168000
2010-03-19,9.880000,10.830000,9.490000,10.150000,10.150000,748800
2010-03-26,10.170000,10.490000,9.680000,10.010000,10.010000,612200
2010-04-02,10.030000,10.730000,9.990000,10.520000,10.520000,352900
2010-04-09,10.490000,10.580000,9.890000,10.480000,10.480000,255500
2010-04-16,10.470000,10.840000,10.010000,10.780000,10.780000,417200
2010-04-23,10.760000,11.030000,10.290000,10.990000,10.990000,373400
2010-04-30,10.960000,10.960000,8.260000,9.170000,9.170000,500600
2010-05-07,9.160000,10.100000,8.720000,9.870000,9.870000,471400
2010-05-14,9.770000,10.500000,9.160000,9.230000,9.230000,591300
2010-05-21,9.020000,9.030000,8.240000,8.830000,8.830000,517200
2010-05-28,8.820000,8.820000,8.010000,8.590000,8.590000,457100
2010-06-04,8.290000,8.420000,7.520000,7.980000,7.980000,540900
2010-06-11,7.870000,8.610000,7.790000,8.500000,8.500000,563200
2010-06-18,8.570000,9.260000,8.210000,8.730000,8.730000,431800
2010-06-25,8.810000,9.630000,8.550000,8.660000,8.660000,766400
2010-07-02,8.770000,8.780000,8.110000,8.740000,8.740000,432400
2010-07-09,8.720000,9.010000,8.380000,8.790000,8.790000,351100
2010-07-16,8.680000,8.900000,7.650000,8.740000,8.740000,500800
2010-07-23,8.670000,9.580000,8.610000,8.920000,8.920000,526400
2010-07-30,8.740000,9.860000,8.260000,8.560000,8.560000,684100
2010-08-06,8.380000,8.750000,7.550000,8.150000,8.150000,450000
2010-08-13,8.110000,8.770000,7.650000,7.750000,7.750000,448200
2010-08-20,7.710000,7.920000,7.030000,7.340000,7.340000,329900
2010-08-27,7.470000,7.850000,7.150000,7.570000,7.570000,537300
2010-09-03,7.680000,7.820000,7.230000,7.310000,7.310000,280000
2010-09-10,7.380000,7.870000,7.280000,7.420000,7.420000,296000
2010-09-17,7.530000,7.660000,7.140000,7.150000,7.150000,418100
2010-09-24,7.290000,7.530000,6.920000,7.190000,7.190000,445200
2010-10-01,7.280000,7.280000,6.630000,6.910000,6.910000,396400
2010-10-08,6.930000,7.280000,6.740000,7.180000,7.180000,322000
2010-10-15,7.310000,7.740000,7.190000,7.510000,7.510000,333200
2010-10-22,7.640000,7.940000,7.160000,7.500000,7.500000,209500
2010-10-29,7.480000,7.760000,6.620000,7.660000,7.660000,492800
2010-11-05,7.710000,7.710000,7.020000,7.150000,7.150000,318500
2010-11-12,7.040000,7.270000,6.790000,7.190000,7.190000,295400
2010-11-19,7.200000,7.680000,7.020000,7.640000,7.640000,205400
2010-11-26,7.610000,7.980000,7.390000,7.710000,7.710000,312300
2010-12-03,7.650000,7.790000,7.530000,7.700000,7.700000,294800
2010-12-10,7.720000,8.550000,7.610000,8.530000,8.530000,323000
2010-12-17,8.550000,9.320000,8.480000,8.920000,8.920000,636500
2010-12-24,8.890000,9.030000,8.750000,8.750000,8.750000,214500
2010-12-31,8.710000,9.260000,7.970000,8.210000,8.210000,352300
2011-01-07,8.240000,8.520000,7.930000,8.300000,8.300000,305100
2011-01-14,8.320000,8.580000,7.200000,7.200000,7.200000,210200
2011-01-21,7.290000,7.650000,7.010000,7.510000,7.510000,290100
2011-01-28,7.470000,7.510000,7.050000,7.280000,7.280000,461400
2011-02-04,7.250000,7.710000,7.000000,7.560000,7.560000,591000
2011-02-11,7.480000,7.970000,7.310000,7.810000,7.810000,384000
2011-02-18,7.900000,8.290000,7.600000,7.910000,7.910000,248400
2011-02-25,7.930000,8.480000,7.560000,7.870000,7.870000,377600
2011-03-04,7.870000,8.100000,6.910000,7.020000,7.020000,656800
2011-03-11,6.990000,7.180000,6.520000,7.010000,7.010000,403900
2011-03-18,7.110000,7.870000,6.870000,7.850000,7.850000,477700
2011-03-25,7.900000,7.960000,7.700000,7.830000,7.830000,536000
2011-04-01,7.890000,7.890000,7.230000,7.230000,7.230000,332200
2011-04-08,7.320000,7.320000,6.620000,6.740000,6.740000,482600
2011-04-15,6.710000,6.930000,6.340000,6.590000,6.590000,510800
2011-04-22,6.580000,7.170000,6.520000,7.170000,7.170000,1058000
2011-04-29,7.200000,7.490000,6.960000,7.140000,7.140000,681900
2011-05-06,7.290000,7.840000,7.280000,7.730000,7.730000,610300
2011-05-13,7.750000,7.760000,7.290000,7.500000,7.500000,824900
2011-05-20,7.440000,7.600000,7.210000,7.440000,7.440000,469300
2011-05-27,7.490000,7.860000,7.360000,7.760000,7.760000,579000
2011-06-03,7.560000,7.830000,7.060000,7.090000,7.090000,273400
2011-06-10,7.030000,7.420000,6.860000,7.200000,7.200000,684500
2011-06-17,7.280000,7.460000,6.970000,7.270000,7.270000,481000
2011-06-24,7.310000,7.650000,7.100000,7.600000,7.600000,996700
2011-07-01,7.610000,8.000000,7.440000,7.930000,7.930000,491000
2011-07-08,7.810000,7.810000,7.150000,7.150000,7.150000,318500
2011-07-15,7.160000,7.660000,7.140000,7.510000,7.510000,278900
2011-07-22,7.530000,7.570000,6.890000,7.020000,7.020000,230500
2011-07-29,6.930000,7.390000,6.640000,6.690000,6.690000,674000
2011-08-05,6.820000,6.820000,4.210000,4.750000,4.750000,1153700
2011-08-12,4.790000,4.980000,4.320000,4.390000,4.390000,709500
2011-08-19,4.270000,5.120000,4.130000,4.740000,4.740000,639800
2011-08-26,4.660000,5.240000,4.490000,4.750000,4.750000,639600
2011-09-02,4.560000,4.690000,4.070000,4.410000,4.410000,597400
2011-09-09,4.340000,5.100000,4.080000,5.000000,5.000000,610600
2011-09-16,5.050000,5.050000,3.920000,4.040000,4.040000,641300
2011-09-23,4.060000,4.490000,3.890000,4.030000,4.030000,895800
2011-09-30,3.900000,4.410000,3.760000,4.340000,4.340000,790200
2011-10-07,4.360000,4.560000,3.980000,4.480000,4.480000,722400
2011-10-14,4.570000,4.880000,4.250000,4.450000,4.450000,582000
2011-10-21,4.570000,5.740000,4.390000,5.590000,5.590000,713200
2011-10-28,5.530000,5.610000,4.640000,5.300000,5.300000,804800
2011-11-04,5.210000,5.600000,5.130000,5.350000,5.350000,535800
2011-11-11,5.480000,5.990000,5.220000,5.250000,5.250000,487300
2011-11-18,5.250000,5.310000,4.750000,4.770000,4.770000,351400
2011-11-25,4.720000,5.260000,4.640000,5.010000,5.010000,596300
2011-12-02,5.120000,5.280000,4.870000,4.920000,4.920000,516300
2011-12-09,4.950000,5.410000,4.870000,5.380000,5.380000,509200
2011-12-16,5.440000,5.760000,5.240000,5.540000,5.540000,970300
2011-12-23,5.580000,5.580000,5.290000,5.490000,5.490000,288800
2011-12-30,5.480000,5.760000,5.050000,5.190000,5.190000,655700
2012-01-06,5.200000,5.350000,4.910000,5.300000,5.300000,585700
2012-01-13,5.210000,6.000000,5.210000,5.970000,5.970000,718000
2012-01-20,5.950000,6.490000,5.800000,6.340000,6.340000,401400
2012-01-27,6.300000,6.670000,5.920000,6.510000,6.510000,591200
2012-02-03,6.610000,6.730000,6.080000,6.140000,6.140000,436500
2012-02-10,6.050000,6.170000,5.800000,6.110000,6.110000,498200
2012-02-17,6.140000,6.140000,5.760000,6.020000,6.020000,480700
2012-02-24,5.990000,6.070000,5.660000,5.800000,5.800000,445100
2012-03-02,5.800000,5.800000,4.400000,4.590000,4.590000,1044600
2012-03-09,4.580000,5.230000,4.550000,5.120000,5.120000,1184400
2012-03-16,5.160000,5.370000,5.000000,5.010000,5.010000,579200
2012-03-23,5.000000,5.300000,4.970000,5.060000,5.060000,1260600
2012-03-30,5.100000,5.640000,4.970000,5.120000,5.120000,734400
2012-04-06,5.000000,5.060000,4.720000,4.950000,4.950000,432900
2012-04-13,4.910000,5.010000,4.550000,4.640000,4.640000,366300
2012-04-20,4.820000,4.820000,4.420000,4.550000,4.550000,475800
2012-04-27,4.590000,5.030000,4.380000,4.590000,4.590000,575600
2012-05-04,4.540000,4.810000,4.360000,4.420000,4.420000,471100
2012-05-11,4.390000,4.440000,3.960000,4.000000,4.000000,453900
2012-05-18,3.980000,4.110000,3.870000,4.070000,4.070000,428300
2012-05-25,4.050000,4.650000,4.000000,4.540000,4.540000,546400
2012-06-01,4.400000,4.680000,4.250000,4.380000,4.380000,444000
2012-06-08,4.360000,4.400000,4.010000,4.130000,4.130000,534600
2012-06-15,4.100000,4.460000,4.020000,4.070000,4.070000,907000
2012-06-22,4.110000,4.490000,4.020000,4.450000,4.450000,572600
2012-06-29,4.550000,4.680000,4.320000,4.640000,4.640000,291000
2012-07-06,4.560000,4.830000,4.540000,4.820000,4.820000,463800
2012-07-13,4.840000,5.120000,4.750000,4.760000,4.760000,418900
2012-07-20,4.720000,4.810000,4.400000,4.750000,4.750000,387700
2012-07-27,4.760000,4.900000,4.340000,4.350000,4.350000,397400
2012-08-03,4.400000,4.770000,4.080000,4.140000,4.140000,441300
2012-08-10,4.130000,4.150000,3.900000,4.130000,4.130000,569600
2012-08-17,4.120000,4.280000,3.980000,4.010000,4.010000,212100
2012-08-24,3.990000,4.090000,3.930000,4.010000,4.010000,211500
2012-08-31,4.030000,4.890000,3.980000,4.500000,4.500000,540400
2012-09-07,4.500000,4.540000,4.230000,4.470000,4.470000,424900
2012-09-14,4.520000,4.760000,4.460000,4.640000,4.640000,741600
2012-09-21,4.710000,4.840000,4.630000,4.770000,4.770000,531300
2012-09-28,4.750000,4.910000,4.370000,4.530000,4.530000,618000
2012-10-05,4.570000,4.600000,4.330000,4.490000,4.490000,661200
2012-10-12,4.460000,4.940000,4.390000,4.580000,4.580000,729600
2012-10-19,4.520000,4.570000,4.350000,4.560000,4.560000,196200
2012-10-26,4.570000,4.620000,4.350000,4.390000,4.390000,234800
2012-11-02,4.420000,4.490000,4.000000,4.060000,4.060000,462700
2012-11-09,4.010000,4.270000,3.840000,3.870000,3.870000,862900
2012-11-16,3.850000,4.000000,3.800000,3.950000,3.950000,254800
2012-11-23,3.970000,4.310000,3.890000,4.260000,4.260000,312200
2012-11-30,4.290000,4.600000,4.000000,4.510000,4.510000,1744500
2012-12-07,4.550000,4.930000,4.390000,4.760000,4.760000,891300
2012-12-14,4.730000,4.980000,4.690000,4.950000,4.950000,584900
2012-12-21,4.900000,4.940000,4.320000,4.820000,4.820000,779200
2012-12-28,4.780000,5.250000,4.620000,5.230000,5.230000,373700
2013-01-04,5.270000,5.370000,4.900000,5.110000,5.110000,485300
2013-01-11,5.130000,5.300000,4.990000,5.060000,5.060000,517200
2013-01-18,5.100000,5.500000,5.060000,5.420000,5.420000,408600
2013-01-25,5.460000,5.720000,5.180000,5.650000,5.650000,721200
2013-02-01,5.680000,5.840000,5.450000,5.560000,5.560000,397600
2013-02-08,5.550000,5.670000,5.430000,5.550000,5.550000,410700
2013-02-15,5.590000,5.980000,5.450000,5.500000,5.500000,451900
2013-02-22,5.550000,5.830000,5.490000,5.690000,5.690000,663300
2013-03-01,5.640000,6.160000,5.600000,6.120000,6.120000,530100
2013-03-08,6.200000,6.230000,5.890000,6.040000,6.040000,355500
2013-03-15,6.050000,6.070000,5.550000,5.590000,5.590000,879100
2013-03-22,5.160000,5.600000,5.160000,5.310000,5.310000,932100
2013-03-29,5.300000,5.600000,5.000000,5.550000,5.550000,811600
2013-04-05,5.450000,5.570000,5.160000,5.300000,5.300000,489500
2013-04-12,5.260000,5.320000,4.590000,4.740000,4.740000,588400
2013-04-19,4.730000,5.070000,4.620000,4.910000,4.910000,305500
2013-04-26,4.910000,5.020000,4.800000,4.900000,4.900000,556700
2013-05-03,4.970000,5.370000,4.880000,5.210000,5.210000,459500
2013-05-10,5.270000,5.300000,5.020000,5.180000,5.180000,320100
2013-05-17,5.190000,5.570000,5.130000,5.200000,5.200000,530600
2013-05-24,5.150000,5.490000,5.110000,5.250000,5.250000,258700
2013-05-31,5.200000,5.480000,4.980000,5.140000,5.140000,466100
2013-06-07,5.150000,5.180000,4.940000,5.080000,5.080000,321700
2013-06-14,5.090000,5.210000,4.870000,4.920000,4.920000,488500
2013-06-21,4.950000,5.240000,4.830000,5.220000,5.220000,325600
2013-06-28,5.220000,5.390000,5.110000,5.290000,5.290000,268100
2013-07-05,5.410000,5.720000,5.290000,5.670000,5.670000,373200
2013-07-12,5.650000,5.730000,5.550000,5.650000,5.650000,259400
2013-07-19,5.650000,5.970000,5.560000,5.930000,5.930000,279200
2013-07-26,5.890000,5.890000,5.450000,5.690000,5.690000,202400
2013-08-02,5.640000,6.040000,5.440000,5.490000,5.490000,400000
2013-08-09,5.490000,5.770000,5.170000,5.630000,5.630000,426000
2013-08-16,5.630000,6.190000,5.630000,5.900000,5.900000,441800
2013-08-23,5.890000,5.970000,5.660000,5.900000,5.900000,562300
2013-08-30,5.880000,5.920000,5.600000,5.850000,5.850000,282200
2013-09-06,5.880000,5.960000,5.660000,5.850000,5.850000,279400
2013-09-13,5.880000,5.960000,5.730000,5.790000,5.790000,399100
2013-09-20,5.820000,6.070000,5.750000,6.070000,6.070000,1126300
2013-09-27,6.040000,6.180000,5.900000,5.920000,5.920000,422300
2013-10-04,5.900000,5.970000,5.690000,5.890000,5.890000,249400
2013-10-11,5.840000,6.100000,5.840000,6.050000,6.050000,548400
2013-10-18,6.000000,6.250000,5.940000,6.000000,6.000000,678600
2013-10-25,6.020000,6.070000,5.750000,5.940000,5.940000,283000
2013-11-01,5.920000,6.390000,5.550000,6.040000,6.040000,730400
2013-11-08,6.050000,6.620000,6.000000,6.480000,6.480000,865400
2013-11-15,6.510000,6.750000,6.400000,6.750000,6.750000,831100
2013-11-22,6.800000,7.390000,6.720000,7.360000,7.360000,590200
2013-11-29,7.410000,7.750000,6.890000,7.040000,7.040000,2689800
2013-12-06,7.120000,7.410000,6.930000,7.350000,7.350000,3812400
2013-12-13,7.390000,9.600000,7.330000,9.570000,9.570000,2054800
2013-12-20,10.530000,10.530000,9.360000,9.980000,9.980000,1796800
2013-12-27,9.910000,10.460000,9.630000,10.370000,10.370000,1597400
2014-01-03,10.440000,10.830000,9.900000,10.280000,10.280000,2825600
2014-01-10,10.300000,11.000000,9.770000,10.770000,10.770000,2154700
2014-01-17,10.810000,11.380000,10.260000,11.350000,11.350000,1384600
2014-01-24,11.300000,11.540000,10.600000,10.960000,10.960000,2394600
2014-01-31,10.780000,10.970000,9.880000,10.260000,10.260000,1899700
2014-02-07,10.320000,10.480000,9.750000,10.440000,10.440000,1566900
2014-02-14,10.450000,10.930000,10.220000,10.610000,10.610000,1158900
2014-02-21,10.670000,10.860000,10.190000,10.360000,10.360000,1007500
2014-02-28,10.400000,10.870000,8.110000,8.160000,8.160000,3500600
2014-03-07,8.710000,9.120000,8.100000,8.220000,8.220000,2424200
2014-03-14,8.220000,8.530000,8.130000,8.430000,8.430000,1501100
2014-03-21,8.490000,8.580000,7.850000,8.020000,8.020000,1538700
2014-03-28,8.000000,8.620000,7.990000,8.510000,8.510000,1231100
2014-04-04,8.570000,8.570000,7.140000,7.290000,7.290000,1222300
2014-04-11,7.210000,7.270000,6.610000,7.070000,7.070000,1053000
2014-04-18,7.050000,7.300000,6.950000,7.020000,7.020000,644400
2014-04-25,7.010000,7.320000,6.860000,7.030000,7.030000,1141800
2014-05-02,7.030000,7.130000,5.390000,5.470000,5.470000,1764700
