Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,2.619400,2.806500,2.507140,2.731660,1.678569,197247
2010-01-08,2.731660,3.255540,2.507140,2.956180,1.816534,762775
2010-01-15,3.031020,3.255540,2.843920,2.843920,1.747551,710422
2010-01-22,2.806500,2.993600,2.656820,2.731660,1.678569,123812
2010-01-29,2.694240,2.769080,2.544560,2.619400,1.609587,122529
2010-02-05,2.619400,2.656820,2.282620,2.394880,1.471622,91021
2010-02-12,2.357460,2.731660,2.282620,2.619400,1.609587,95163
2010-02-19,2.469720,2.694240,2.394880,2.507140,1.540604,121753
2010-02-26,2.731660,2.918760,2.469720,2.656820,1.632581,175521
2010-03-05,2.769080,2.881340,2.507140,2.731660,1.678569,257830
2010-03-12,2.769080,2.843920,2.619400,2.769080,1.701563,784019
2010-03-19,2.245200,2.806500,2.245200,2.694240,1.655575,886958
2010-03-26,2.619400,2.918760,2.619400,2.806500,1.724557,672796
2010-04-02,2.843920,3.330380,2.843920,3.218120,1.977492,479048
2010-04-09,3.367800,4.116200,3.255540,3.667160,2.253421,1548049
2010-04-16,3.742000,4.677500,3.554900,4.265880,2.621326,1615232
2010-04-23,4.415560,6.960120,4.228460,6.960120,4.276902,2949733
2010-04-30,6.960120,7.484000,5.238800,5.949780,3.656061,2636424
2010-05-07,5.725260,7.409160,5.538160,6.660760,4.092948,1018466
2010-05-14,6.548500,7.371740,5.949780,6.136880,3.771032,1480520
2010-05-21,5.987200,6.511080,5.463320,6.211720,3.817020,821700
2010-05-28,6.286560,6.548500,5.987200,6.473660,3.977978,259566
2010-06-04,6.361400,6.398820,5.238800,5.725260,3.518096,524426
2010-06-11,5.725260,6.174300,5.725260,6.062040,3.725043,365580
2010-06-18,6.062040,6.361400,5.687840,5.912360,3.633068,237494
2010-06-25,5.837520,5.874940,5.051700,5.313640,3.265162,338242
2010-07-02,5.313640,5.725260,5.051700,5.613000,3.449114,112159
2010-07-09,5.500740,5.687840,5.238800,5.575580,3.426120,196926
2010-07-16,5.463320,5.463320,4.415560,4.864600,2.989232,368172
2010-07-23,4.827180,5.238800,4.602660,4.864600,2.989232,185435
2010-07-30,4.939440,5.388480,4.789760,5.126540,3.150191,217183
2010-08-06,5.014280,5.163960,4.565240,4.677500,2.874262,147434
2010-08-13,4.640080,4.864600,3.891680,4.116200,2.529350,242010
2010-08-20,4.041360,4.153620,3.292960,3.442640,2.115457,321700
2010-08-27,3.442640,3.742000,3.255540,3.480060,2.138451,199759
2010-09-03,3.592320,3.667160,3.367800,3.442640,2.115457,107669
2010-09-10,3.517480,3.704580,3.367800,3.517480,2.161445,121299
2010-09-17,3.554900,4.265880,3.480060,3.779420,2.322403,237145
2010-09-24,3.779420,5.425900,3.629740,5.201380,3.196179,563228
2010-10-01,5.201380,5.687840,4.565240,5.463320,3.357137,751735
2010-10-08,5.538160,5.725260,5.014280,5.500740,3.380131,318253
2010-10-15,5.575580,5.575580,4.789760,4.864600,2.989232,182095
2010-10-22,4.864600,4.939440,4.752340,4.864600,2.989232,159701
2010-10-29,4.827180,5.051700,4.565240,5.014280,3.081209,212000
2010-11-05,4.939440,5.126540,4.714920,4.902020,3.012226,94736
2010-11-12,4.864600,5.463320,4.602660,5.351060,3.288155,982149
2010-11-19,5.463320,5.575580,5.201380,5.500740,3.380131,267771
2010-11-26,5.388480,5.500740,5.201380,5.463320,3.357137,181427
2010-12-03,5.425900,5.500740,5.238800,5.463320,3.357137,219776
2010-12-10,5.425900,6.099460,5.313640,5.687840,3.495102,560422
2010-12-17,5.650420,5.725260,5.388480,5.500740,3.380131,231347
2010-12-24,5.463320,5.650420,5.351060,5.650420,3.472109,126965
2010-12-31,5.613000,5.987200,5.463320,5.987200,3.679055,358177
2011-01-07,5.987200,6.660760,5.837520,6.585920,4.046960,559593
2011-01-14,6.548500,6.660760,5.874940,5.912360,3.633068,233565
2011-01-21,5.912360,6.548500,5.874940,6.118170,3.759534,265741
2011-01-28,6.024620,6.380110,5.865585,6.361400,3.908996,200108
2011-02-04,6.305270,7.904975,6.286560,7.193995,4.420615,521752
2011-02-11,7.156575,7.296900,6.716890,7.081735,4.351633,211865
2011-02-18,7.053670,7.053670,6.604630,6.875925,4.225165,178087
2011-02-25,7.006895,7.147220,6.801085,7.044315,4.328638,281668
2011-03-04,7.100445,7.128510,6.735600,6.894635,4.236662,179476
2011-03-11,6.660760,8.410145,6.613985,7.147220,4.391872,816141
2011-03-18,7.250125,7.933040,6.829150,7.895620,4.851754,782148
2011-03-25,7.914330,8.297885,7.736585,8.232400,5.058701,536505
2011-04-01,8.232400,8.260465,8.007880,8.223045,5.052952,273224
2011-04-08,8.213690,8.251110,8.007880,8.073365,4.960976,271085
2011-04-15,8.045300,8.157560,7.671100,8.017235,4.926485,708178
2011-04-22,7.951750,8.082720,7.680455,7.764650,4.771275,235917
2011-04-29,7.745940,7.933040,7.156575,7.764650,4.771275,630572
2011-05-06,7.811425,7.942395,7.558840,7.680455,4.719537,344948
2011-05-13,7.643035,7.820780,7.343675,7.437225,4.570076,369427
2011-05-20,7.409160,9.177255,7.409160,9.158545,5.627804,883913
2011-05-27,9.214675,9.476615,8.410145,8.831120,5.426606,435275
2011-06-03,8.737570,9.420485,8.194980,9.093060,5.587564,618813
2011-06-10,9.018220,9.336290,8.138850,8.316595,5.110437,429930
2011-06-17,8.410145,8.737570,8.194980,8.372725,5.144928,228220
2011-06-24,8.363370,8.531760,8.288530,8.391435,5.156426,177446
2011-07-01,8.372725,8.494340,8.073365,8.438210,5.185168,242971
2011-07-08,8.372725,8.438210,7.633680,7.774005,4.777023,515125
2011-07-15,7.783360,7.783360,7.091090,7.119155,4.374626,508177
2011-07-22,7.128510,7.614970,7.016250,7.119155,4.374626,301870
2011-07-29,7.034960,7.437225,5.388480,5.519450,3.391629,543346
2011-08-05,5.538160,5.631710,4.677500,5.117185,3.144443,441476
2011-08-12,5.042345,5.575580,4.836535,5.107830,3.138694,344950
2011-08-19,5.014280,5.453965,4.808470,5.266865,3.236419,201176
2011-08-26,5.145250,5.987200,4.986215,5.912360,3.633068,325922
2011-09-02,5.631710,5.865585,5.388480,5.828165,3.581331,105292
2011-09-09,5.772035,5.772035,5.397835,5.631710,3.460612,115018
2011-09-16,5.603645,5.753325,4.836535,5.051700,3.104203,224906
2011-09-23,4.920730,5.220090,4.771050,4.948795,3.040969,212293
2011-09-30,4.836535,4.939440,4.106845,4.303300,2.644321,414537
2011-10-07,4.293945,4.873955,4.116200,4.724275,2.903005,243827
