Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,5.890000,7.330000,5.890000,7.310000,5.089223,474400
2010-01-08,7.320000,8.200000,7.010000,8.000000,5.569601,584000
2010-01-15,8.000000,8.430000,7.500000,8.110000,5.646183,611900
2010-01-22,8.050000,8.330000,7.620000,7.990000,5.562637,489700
2010-01-29,8.110000,8.430000,7.550000,7.760000,5.402511,485300
2010-02-05,7.760000,7.830000,7.300000,7.500000,5.221503,465900
2010-02-12,7.470000,7.890000,7.400000,7.830000,5.465479,386600
2010-02-19,7.720000,7.900000,7.580000,7.800000,5.444539,349200
2010-02-26,7.800000,8.180000,7.680000,8.080000,5.639987,316200
2010-03-05,8.090000,8.120000,7.660000,7.890000,5.507361,225000
2010-03-12,7.900000,7.970000,7.610000,7.790000,5.437559,325000
2010-03-19,7.800000,8.150000,7.430000,8.000000,5.584143,316700
2010-03-26,8.050000,8.380000,7.870000,8.350000,5.828449,296600
2010-04-02,8.390000,9.400000,8.350000,9.380000,6.547407,411200
2010-04-09,10.020000,10.080000,8.920000,9.810000,6.847554,1271500
2010-04-16,9.810000,11.820000,9.760000,11.690000,8.159827,1336700
2010-04-23,12.160000,12.350000,10.610000,11.520000,8.041165,837600
2010-04-30,11.550000,11.750000,7.510000,10.840000,7.566514,830100
2010-05-07,10.800000,11.240000,10.250000,10.900000,7.621694,512200
2010-05-14,10.810000,10.810000,9.380000,9.690000,6.775617,400100
2010-05-21,9.460000,10.090000,8.920000,9.730000,6.803587,378000
2010-05-28,9.510000,9.750000,8.960000,9.630000,6.733664,261800
2010-06-04,9.480000,9.580000,8.120000,8.670000,6.062395,363200
2010-06-11,8.490000,9.240000,8.270000,9.240000,6.460959,248500
2010-06-18,9.210000,9.450000,8.820000,9.110000,6.370059,389600
2010-06-25,9.150000,9.860000,8.360000,8.620000,6.027433,2691200
2010-07-02,8.650000,9.280000,8.000000,9.000000,6.293143,367400
2010-07-09,8.960000,9.680000,8.830000,9.550000,6.677722,298400
2010-07-16,9.510000,10.000000,8.620000,9.580000,6.698701,434400
2010-07-23,9.550000,10.250000,9.300000,9.400000,6.572839,596800
2010-07-30,9.300000,9.930000,9.140000,9.320000,6.516900,292100
2010-08-06,9.230000,9.750000,8.540000,8.600000,6.026123,306700
2010-08-13,8.550000,9.630000,8.300000,9.050000,6.341441,308000
2010-08-20,8.990000,9.240000,8.480000,8.960000,6.278378,313800
2010-08-27,9.070000,9.460000,8.730000,9.250000,6.481582,273100
2010-09-03,9.260000,9.570000,8.850000,8.970000,6.285385,141700
2010-09-10,9.030000,9.770000,8.810000,9.300000,6.516621,160200
2010-09-17,9.420000,10.160000,9.270000,9.670000,6.775885,271000
2010-09-24,9.790000,10.850000,9.650000,10.500000,7.357472,363800
2010-10-01,11.500000,12.930000,10.010000,10.190000,7.140250,2438800
2010-10-08,10.230000,10.990000,10.200000,10.870000,7.616735,721600
2010-10-15,10.900000,10.950000,10.400000,10.680000,7.483604,564300
2010-10-22,10.680000,10.990000,10.530000,10.860000,7.609727,466500
2010-10-29,10.850000,11.000000,10.630000,10.850000,7.602724,468400
2010-11-05,10.940000,10.980000,10.520000,10.620000,7.455442,649800
2010-11-12,10.550000,10.820000,10.420000,10.730000,7.532668,446000
2010-11-19,10.740000,10.940000,10.510000,10.910000,7.659028,251900
2010-11-26,10.820000,11.060000,10.600000,11.040000,7.750292,347000
2010-12-03,11.030000,11.400000,10.900000,11.130000,7.813473,441900
2010-12-10,11.180000,11.330000,11.050000,11.250000,7.897713,297500
2010-12-17,11.290000,11.800000,11.190000,11.750000,8.248725,376200
2010-12-24,11.770000,11.920000,11.600000,11.710000,8.220643,142100
2010-12-31,11.630000,13.000000,11.620000,12.740000,8.943720,1190200
2011-01-07,12.710000,12.950000,12.510000,12.700000,8.915644,750200
2011-01-14,12.690000,12.950000,12.520000,12.580000,8.831399,680800
2011-01-21,12.620000,13.130000,12.520000,12.950000,9.091145,1049600
2011-01-28,12.970000,13.200000,12.600000,13.150000,9.231550,728100
2011-02-04,13.120000,13.320000,12.580000,12.930000,9.077108,641600
2011-02-11,12.850000,13.220000,12.750000,13.110000,9.217405,219800
2011-02-18,13.120000,13.230000,12.530000,13.030000,9.161157,357000
2011-02-25,13.060000,13.580000,12.600000,13.150000,9.245528,535400
2011-03-04,13.150000,13.300000,12.830000,12.980000,9.126003,389100
2011-03-11,12.960000,13.020000,12.270000,12.770000,8.978358,417500
2011-03-18,12.860000,13.250000,12.640000,13.120000,9.224435,364700
2011-03-25,13.120000,13.270000,12.910000,13.180000,9.266620,306700
2011-04-01,13.200000,13.820000,13.010000,13.660000,9.604098,604200
2011-04-08,13.740000,13.750000,13.410000,13.480000,9.477545,551300
2011-04-15,13.440000,13.520000,13.250000,13.490000,9.484571,586600
2011-04-22,13.440000,13.550000,13.210000,13.420000,9.435360,365100
2011-04-29,13.420000,13.550000,13.270000,13.290000,9.343957,380100
2011-05-06,13.400000,13.600000,13.150000,13.450000,9.491975,343900
2011-05-13,13.430000,13.550000,13.160000,13.410000,9.463745,284200
2011-05-20,13.340000,13.510000,13.020000,13.300000,9.386117,301300
2011-05-27,13.320000,14.040000,13.210000,13.410000,9.463745,414100
2011-06-03,13.280000,13.540000,13.150000,13.380000,9.442577,474500
2011-06-10,13.340000,13.960000,12.860000,13.000000,9.174401,488500
2011-06-17,13.040000,13.240000,12.730000,12.900000,9.103826,591000
