Date,Price,Open,High,Low,Vol.,Change %
29-Jun-80,117.46,116,117.8,113.54,154.43M,1.26%
22-Jun-80,116,114.06,117.98,113.35,196.63M,1.70%
15-Jun-80,114.06,115.81,117.16,113.12,194.95M,-1.51%
8-Jun-80,115.81,113.2,117.01,112.68,211.83M,2.31%
1-Jun-80,113.2,111.24,114.38,109.77,196.34M,1.76%
25-May-80,111.24,110.62,112.72,108.87,156.21M,0.56%
18-May-80,110.62,107.35,111.37,106.51,184.43M,3.05%
11-May-80,107.35,104.72,107.99,103.5,177.35M,2.51%
4-May-80,104.72,105.58,108.12,104.18,186.41M,-0.81%
27-Apr-80,105.58,105.16,106.86,104.5,149.91M,0.40%
20-Apr-80,105.16,100.55,105.57,98.95,182.48M,4.58%
13-Apr-80,100.55,103.79,104.42,99.97,149.11M,-3.12%
6-Apr-80,103.79,102.15,105.15,99.23,157.75M,1.61%
30-Mar-80,102.15,100.68,103.87,100.02,131.25M,1.46%
23-Mar-80,100.68,102.18,102.18,94.23,230.79M,-1.59%
16-Mar-80,102.31,105.23,105.72,101.14,185.68M,-2.96%
9-Mar-80,105.43,106.9,108.54,104.01,191.34M,-1.38%
2-Mar-80,106.9,113.66,114.34,105.99,232.80M,-5.95%
24-Feb-80,113.66,114.93,115.12,111.33,204.71M,-1.20%
17-Feb-80,115.04,115.41,117.9,113.35,183.56M,-0.32%
10-Feb-80,115.41,117.95,120.22,114.12,269.20M,-2.15%
3-Feb-80,117.95,115.12,118.66,112.15,252.45M,2.46%
27-Jan-80,115.12,113.61,117.17,112.93,272.78M,1.33%
20-Jan-80,113.61,111.07,115.27,110.66,255.56M,2.29%
13-Jan-80,111.07,109.92,112.9,109.34,274.27M,1.05%
6-Jan-80,109.92,106.52,111.16,105.8,272.02M,3.19%
30-Dec-79,106.52,107.84,108.53,103.26,161.75M,-1.22%
23-Dec-79,107.84,107.59,108.61,106.8,109.95M,0.23%
16-Dec-79,107.59,108.92,110.33,106.99,205.46M,-1.22%
9-Dec-79,108.92,107.52,109.49,106.65,181.55M,1.30%
2-Dec-79,107.52,106.16,109.24,105.07,181.72M,1.28%
25-Nov-79,106.16,104.83,107.89,104.83,196.80M,1.42%
18-Nov-79,104.67,103.79,105.13,102.04,128.42M,0.85%
11-Nov-79,103.79,101.51,104.94,101.27,149.29M,2.25%
4-Nov-79,101.51,102.51,102.66,99.42,129.59M,-0.98%
28-Oct-79,102.51,100.57,103.21,100.13,128.94M,1.93%
21-Oct-79,100.57,101.38,101.45,99.06,167.73M,-1.01%
14-Oct-79,101.6,104.49,104.74,101.24,170.29M,-2.77%
7-Oct-79,104.49,111.27,111.83,102.31,253.71M,-6.09%
30-Sep-79,111.27,109.19,112.16,107.7,186.81M,1.78%
23-Sep-79,109.32,110.47,111.25,108.27,172.96M,-1.04%
16-Sep-79,110.47,108.76,111.58,107.32,209.21M,1.57%
9-Sep-79,108.76,107.66,109.48,106.72,192.08M,1.02%
2-Sep-79,107.66,109.32,109.41,105.38,139.69M,-1.52%
26-Aug-79,109.32,108.6,109.84,108.12,147.96M,0.66%
19-Aug-79,108.6,108.3,109.68,107.65,178.05M,0.28%
12-Aug-79,108.3,106.4,109.18,106.28,207.65M,1.79%
5-Aug-79,106.4,104.04,106.84,103.27,188.94M,2.27%
29-Jul-79,104.04,103.1,105.02,102.42,165.45M,0.91%
22-Jul-79,103.1,101.82,103.63,100.84,151.47M,1.26%
15-Jul-79,101.82,102.32,103.2,100.35,149.98M,-0.49%
8-Jul-79,102.32,103.62,105.17,101.49,183.70M,-1.25%
1-Jul-79,103.62,102.91,103.91,101.31,132.59M,0.69%
24-Jun-79,102.91,102.64,103.67,101.22,175.89M,0.26%
17-Jun-79,102.64,102.09,103.16,100.91,168.44M,0.54%
10-Jun-79,102.09,101.49,103.64,100.91,193.05M,0.59%
3-Jun-79,101.49,99.17,102.54,98.61,173.77M,2.34%
27-May-79,99.17,100.22,100.76,98.29,111.15M,-1.05%
20-May-79,100.22,99.93,101.31,99.14,139.86M,0.29%
13-May-79,99.93,98.52,100.73,97.49,134.13M,1.43%
6-May-79,98.52,100.37,100.37,97.92,140.11M,-2.16%
29-Apr-79,100.69,101.8,102.57,100.42,149.49M,-1.09%
22-Apr-79,101.8,101.23,103.07,100.68,154.91M,0.56%
15-Apr-79,101.23,102,102.4,100.46,146.80M,-0.75%
8-Apr-79,102,103.18,103.83,101.51,118.81M,-1.14%
1-Apr-79,103.18,101.56,103.95,100.14,173.69M,1.57%
25-Mar-79,101.59,101.6,103.31,100.6,154.77M,-0.01%
18-Mar-79,101.6,100.69,102.41,99.87,160.87M,0.90%
11-Mar-79,100.69,99.54,101.16,98.56,142.68M,1.16%
4-Mar-79,99.54,97.03,100.58,97.03,144.52M,2.65%
25-Feb-79,96.97,97.78,98.28,95.38,126.14M,-0.83%
18-Feb-79,97.78,98.67,100.07,97.29,97.10M,-0.90%
11-Feb-79,98.67,97.87,99.64,97.05,119.96M,0.82%
4-Feb-79,97.87,99.07,99.07,96.51,126.19M,-1.64%
28-Jan-79,99.5,101.86,102.33,99.01,134.69M,-2.32%
21-Jan-79,101.86,99.75,102.59,98.9,151.92M,2.12%
14-Jan-79,99.75,99.93,101.13,98.33,137.23M,-0.18%
7-Jan-79,99.93,99.13,100.91,97.83,135.47M,0.81%
