Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,6.760000,7.020000,6.750000,7.010000,4.452663,2737200
2010-01-08,7.120000,7.280000,7.030000,7.140000,4.535238,2773300
2010-01-15,7.030000,7.030000,6.060000,6.070000,3.855587,3782800
2010-01-22,6.140000,6.300000,5.960000,6.020000,3.823828,3679700
2010-01-29,6.070000,6.490000,5.900000,5.910000,3.753957,3282500
2010-02-05,5.830000,6.040000,5.500000,5.990000,3.804773,4180800
2010-02-12,5.770000,6.160000,5.720000,6.150000,3.906403,1779100
2010-02-19,5.950000,6.070000,5.830000,6.070000,3.855587,1666100
2010-02-26,6.200000,6.530000,6.100000,6.380000,4.052496,2836600
2010-03-05,6.490000,6.720000,6.480000,6.710000,4.262107,4354100
2010-03-12,6.770000,6.800000,6.490000,6.610000,4.198589,6928100
2010-03-19,6.500000,6.760000,6.380000,6.610000,4.198589,6752100
2010-03-26,6.710000,7.000000,6.660000,6.970000,4.427256,3256200
2010-04-02,6.990000,7.070000,6.940000,7.010000,4.452663,2876800
2010-04-09,7.070000,7.420000,7.040000,7.370000,4.681331,4296800
2010-04-16,7.300000,7.350000,6.870000,7.070000,4.490776,5441800
2010-04-23,7.070000,7.160000,6.690000,7.100000,4.509830,18226200
2010-04-30,7.130000,7.160000,5.240000,5.970000,3.792069,15263200
2010-05-07,5.970000,6.860000,5.690000,6.330000,4.020736,9314300
2010-05-14,6.240000,6.340000,5.690000,5.770000,3.665031,20414400
2010-05-21,5.710000,5.960000,5.280000,5.870000,3.728550,18606300
2010-05-28,5.790000,5.910000,5.520000,5.770000,3.665031,5199400
2010-06-04,5.490000,5.540000,5.150000,5.530000,3.512586,11159400
2010-06-11,5.410000,6.240000,5.410000,6.160000,3.912755,4872200
2010-06-18,6.120000,6.310000,5.790000,5.850000,3.715846,3490100
2010-06-25,5.730000,5.850000,5.270000,5.410000,3.436363,6253300
2010-07-02,5.540000,5.890000,5.380000,5.860000,3.722198,3368100
2010-07-09,5.800000,5.960000,5.730000,5.860000,3.722198,2729800
2010-07-16,5.770000,5.780000,5.430000,5.740000,3.645976,4024300
2010-07-23,5.700000,6.260000,5.670000,6.080000,3.861938,4384600
2010-07-30,5.930000,6.440000,5.900000,6.270000,3.982624,2284600
2010-08-06,6.190000,6.300000,5.500000,5.580000,3.544346,3607600
2010-08-13,5.500000,5.940000,5.470000,5.670000,3.601512,3729700
2010-08-20,5.540000,5.550000,5.050000,5.140000,3.264863,3925600
2010-08-27,5.230000,5.570000,5.050000,5.550000,3.525289,3828600
2010-09-03,5.630000,5.670000,5.420000,5.500000,3.493531,1767400
2010-09-10,5.510000,5.800000,5.480000,5.720000,3.633272,5583400
2010-09-17,5.730000,6.200000,5.700000,5.860000,3.722198,8613400
2010-09-24,6.080000,6.150000,5.940000,5.990000,3.804773,4575500
2010-10-01,6.050000,6.280000,5.910000,6.220000,3.950866,3502500
2010-10-08,6.230000,6.440000,6.130000,6.400000,4.065199,2261400
2010-10-15,6.420000,6.530000,6.210000,6.450000,4.096958,2741700
2010-10-22,6.490000,6.510000,6.190000,6.400000,4.065199,2987100
2010-10-29,6.340000,6.690000,6.210000,6.670000,4.236700,3243700
2010-11-05,6.540000,6.570000,6.240000,6.330000,4.020736,3384500
2010-11-12,6.360000,6.440000,6.140000,6.400000,4.065199,3109300
2010-11-19,6.380000,6.420000,5.850000,5.920000,3.760309,4823100
2010-11-26,5.800000,5.960000,5.460000,5.960000,3.785717,9569500
2010-12-03,5.940000,6.160000,5.880000,6.140000,3.900051,3739400
2010-12-10,6.080000,6.270000,6.010000,6.070000,3.855587,3553400
2010-12-17,5.980000,6.090000,5.920000,6.030000,3.830180,4291800
2010-12-24,6.010000,6.130000,6.010000,6.090000,3.868291,2124400
2010-12-31,6.100000,6.430000,6.100000,6.290000,3.995329,5132000
2011-01-07,6.400000,6.880000,6.240000,6.800000,4.319274,5714200
2011-01-14,6.870000,7.260000,6.860000,7.190000,4.566997,9927700
2011-01-21,7.260000,7.540000,7.190000,7.520000,4.776610,4438800
2011-01-28,7.710000,7.800000,7.350000,7.550000,4.795665,6058000
2011-02-04,7.560000,7.750000,7.460000,7.550000,4.795665,5917100
2011-02-11,7.450000,7.700000,7.360000,7.680000,4.878238,6633700
2011-02-18,7.620000,7.730000,7.320000,7.380000,4.687683,5577300
2011-02-25,7.540000,7.750000,7.500000,7.740000,4.916350,6066600
2011-03-04,7.780000,7.930000,7.510000,7.570000,4.808368,7534200
2011-03-11,7.370000,7.490000,6.670000,7.000000,4.446311,7106400
2011-03-18,7.170000,7.550000,7.120000,7.530000,4.782961,5962000
2011-03-25,7.520000,7.600000,7.400000,7.500000,4.763906,3054100
2011-04-01,7.740000,8.020000,7.670000,7.940000,5.043387,4196000
2011-04-08,8.060000,8.070000,7.620000,7.750000,4.922701,4097400
2011-04-15,7.600000,7.680000,7.110000,7.560000,4.802016,6971400
2011-04-22,7.520000,8.060000,7.520000,7.930000,5.037035,5998800
2011-04-29,7.970000,8.050000,7.540000,7.560000,4.802016,4755200
2011-05-06,7.710000,7.760000,7.150000,7.270000,4.617812,6725900
2011-05-13,7.110000,7.110000,6.810000,7.000000,4.446311,7819800
2011-05-20,6.940000,6.970000,6.500000,6.630000,4.211292,4324200
2011-05-27,6.880000,7.020000,6.670000,6.750000,4.287515,4202000
2011-06-03,6.650000,6.830000,6.470000,6.590000,4.185884,4215300
2011-06-10,6.620000,6.660000,6.200000,6.300000,4.001680,6165500
2011-06-17,6.450000,6.560000,6.200000,6.350000,4.033440,3532800
2011-06-24,6.270000,6.840000,6.100000,6.800000,4.319274,5110700
2011-07-01,6.870000,7.010000,6.610000,6.730000,4.274811,2952300
2011-07-08,6.570000,6.590000,5.870000,5.900000,3.747606,9118800
2011-07-15,5.900000,6.290000,5.500000,6.240000,3.963569,6285400
2011-07-22,6.230000,6.230000,5.700000,5.770000,3.665031,9122700
2011-07-29,5.670000,5.820000,4.750000,4.750000,3.017140,8683700
2011-08-05,4.960000,5.030000,3.900000,4.190000,2.661436,13506300
2011-08-12,4.380000,4.680000,4.110000,4.160000,2.642379,6707900
2011-08-19,4.110000,4.440000,4.080000,4.230000,2.686843,4230100
2011-08-26,4.130000,4.560000,4.070000,4.440000,2.820232,4058500
2011-09-02,4.310000,4.340000,3.820000,4.160000,2.642379,4736900
2011-09-09,3.970000,4.300000,3.670000,4.300000,2.731306,8902900
2011-09-16,4.350000,4.410000,3.600000,3.670000,2.331138,6886200
2011-09-23,3.540000,4.370000,3.540000,4.270000,2.712250,7564200
2011-09-30,4.130000,4.540000,3.780000,4.400000,2.794824,10316700
2011-10-07,4.440000,5.090000,4.290000,4.790000,3.042549,4796200
2011-10-14,4.910000,4.950000,4.380000,4.540000,2.883750,4702600
2011-10-21,4.630000,5.430000,4.620000,5.410000,3.436363,4896000
