Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,15.300000,16.820000,15.210000,16.230000,16.142469,2359900
2010-01-08,16.250000,16.580000,15.930000,16.270000,16.182253,2731700
2010-01-15,16.350000,16.540001,15.200000,15.620000,15.535758,1774000
2010-01-22,14.990000,15.300000,13.320000,13.540000,13.466977,2586900
2010-01-29,13.580000,14.210000,12.960000,13.360000,13.287948,2160800
2010-02-05,13.360000,13.980000,13.050000,13.840000,13.765359,1298700
2010-02-12,13.650000,15.990000,13.540000,15.500000,15.416406,2615000
2010-02-19,15.500000,15.690000,14.420000,14.850000,14.769912,1921400
2010-02-26,14.850000,15.320000,14.350000,14.490000,14.411852,1758800
2010-03-05,14.500000,15.100000,14.230000,15.100000,15.018563,1579500
2010-03-12,15.190000,16.500000,14.860000,15.090000,15.008617,2912900
2010-03-19,15.170000,15.620000,14.060000,14.890000,14.809695,1718500
2010-03-26,15.000000,17.110001,14.790000,16.200001,16.112631,2061600
2010-04-02,16.200001,16.280001,15.200000,15.330000,15.247322,1010400
2010-04-09,15.320000,17.000000,14.960000,16.930000,16.838694,1625900
2010-04-16,16.900000,17.440001,15.460000,17.430000,17.335999,2033400
2010-04-23,17.299999,17.430000,15.660000,16.200001,16.112631,2050900
2010-04-30,16.280001,16.420000,11.130000,12.930000,12.860267,3873500
2010-05-07,12.970000,13.610000,11.920000,13.480000,13.407298,4591000
2010-05-14,13.360000,13.360000,11.290000,11.580000,11.517547,2890800
2010-05-21,11.300000,12.540000,10.930000,12.530000,12.462422,3295900
2010-05-28,12.550000,13.090000,11.990000,13.000000,12.929888,1977600
2010-06-04,12.920000,13.170000,11.340000,12.530000,12.462422,3992600
2010-06-11,12.280000,14.350000,12.200000,14.030000,13.954333,2086300
2010-06-18,14.110000,15.040000,13.370000,13.530000,13.457030,2083100
2010-06-25,13.600000,13.940000,11.650000,11.990000,11.925336,2414100
2010-07-02,12.100000,13.430000,11.800000,13.140000,13.069135,1756900
2010-07-09,13.150000,14.500000,12.930000,13.720000,13.646006,1957800
2010-07-16,13.590000,17.100000,13.380000,17.000000,16.908318,4081100
2010-07-23,16.930000,17.900000,16.080000,16.299999,16.212090,3954600
2010-07-30,16.000000,18.530001,15.890000,17.860001,17.763680,3692000
2010-08-06,17.469999,17.780001,14.920000,15.480000,15.396513,2707600
2010-08-13,15.490000,16.700001,15.070000,15.910000,15.824195,1835500
2010-08-20,15.880000,16.129999,14.380000,14.760000,14.680397,1990300
2010-08-27,15.010000,15.680000,13.850000,15.300000,15.217484,2483400
2010-09-03,15.450000,16.100000,13.750000,14.150000,14.073686,3494800
2010-09-10,14.180000,15.260000,13.750000,14.170000,14.093578,2581300
2010-09-17,14.370000,14.450000,11.910000,12.000000,11.935282,6354800
2010-09-24,12.250000,13.410000,12.190000,13.060000,12.989567,3443500
2010-10-01,13.230000,13.370000,12.610000,13.080000,13.009456,1701300
2010-10-08,13.120000,14.820000,12.730000,14.720000,14.640613,3919300
2010-10-15,14.970000,15.200000,13.370000,13.930000,13.854874,3977900
2010-10-22,13.930000,15.000000,13.750000,14.360000,14.282554,1991600
2010-10-29,14.320000,14.710000,12.480000,13.200000,13.128810,7010400
2010-11-05,13.240000,13.290000,11.920000,12.050000,11.985012,6549100
2010-11-12,11.980000,12.130000,11.530000,11.760000,11.696576,2740200
2010-11-19,11.710000,12.020000,11.400000,11.790000,11.726414,2024400
2010-11-26,11.730000,12.320000,11.450000,12.230000,12.164041,2039900
2010-12-03,12.180000,12.760000,11.960000,12.450000,12.382854,1985500
2010-12-10,12.560000,13.210000,12.470000,12.810000,12.740913,3246100
2010-12-17,13.250000,14.470000,13.180000,13.890000,13.815089,3161800
2010-12-24,13.800000,14.040000,13.470000,13.720000,13.646006,1293600
2010-12-31,13.700000,14.160000,13.260000,13.320000,13.248162,2249800
2011-01-07,13.420000,14.930000,13.140000,14.750000,14.670450,2690100
2011-01-14,14.910000,15.440000,14.360000,14.570000,14.491422,2492600
2011-01-21,14.660000,15.460000,14.340000,15.350000,15.267215,1594300
2011-01-28,15.350000,16.500000,14.730000,16.200001,16.112631,2802300
2011-02-04,15.370000,15.580000,14.750000,15.300000,15.217484,2965300
2011-02-11,15.280000,15.870000,14.220000,15.290000,15.207538,4597500
2011-02-18,15.320000,15.970000,15.080000,15.480000,15.396513,3233900
2011-02-25,15.530000,16.900000,15.480000,16.740000,16.649717,3492800
2011-03-04,16.879999,17.000000,15.200000,15.350000,15.267215,3498400
2011-03-11,15.150000,15.780000,14.630000,15.030000,14.948940,3021600
2011-03-18,15.200000,16.129999,15.010000,16.010000,15.923656,1874400
2011-03-25,16.110001,16.450001,15.820000,16.350000,16.261822,1625700
2011-04-01,16.400000,16.480000,15.510000,15.650000,15.565597,1656800
2011-04-08,15.640000,15.780000,14.030000,14.380000,14.302445,2136700
2011-04-15,14.310000,14.530000,13.470000,14.410000,14.332284,2121500
2011-04-22,14.400000,14.670000,14.060000,14.210000,14.133363,909300
2011-04-29,14.210000,15.560000,13.480000,14.780000,14.700289,6147400
2011-05-06,14.990000,15.500000,14.520000,14.950000,14.869372,2359500
2011-05-13,14.990000,15.050000,14.080000,14.660000,14.580937,2163900
