Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,9.230000,9.950000,9.050000,9.650000,9.650000,509200
2010-01-08,9.640000,9.850000,9.120000,9.170000,9.170000,466500
2010-01-15,9.190000,9.900000,8.370000,9.640000,9.640000,594800
2010-01-22,9.590000,9.760000,8.490000,8.690000,8.690000,290400
2010-01-29,8.780000,9.880000,8.250000,9.000000,9.000000,623200
2010-02-05,9.000000,9.750000,8.420000,9.550000,9.550000,770600
2010-02-12,9.590000,9.940000,9.240000,9.900000,9.900000,478600
2010-02-19,9.880000,11.510000,9.730000,11.260000,11.260000,977600
2010-02-26,11.240000,11.380000,10.770000,10.830000,10.830000,660400
2010-03-05,10.970000,11.930000,10.920000,11.490000,11.490000,547200
2010-03-12,11.610000,12.190000,11.340000,12.010000,12.010000,424400
2010-03-19,12.100000,12.100000,11.000000,11.310000,11.310000,675000
2010-03-26,11.340000,11.830000,10.850000,11.100000,11.100000,496700
2010-04-02,11.210000,11.890000,11.070000,11.420000,11.420000,322800
2010-04-09,11.460000,11.680000,11.170000,11.560000,11.560000,370700
2010-04-16,11.530000,11.870000,11.020000,11.860000,11.860000,399200
2010-04-23,11.810000,12.500000,11.010000,11.550000,11.550000,580000
2010-04-30,11.510000,11.600000,7.890000,8.200000,8.200000,1492100
2010-05-07,8.100000,8.230000,6.930000,7.520000,7.520000,1448800
2010-05-14,7.400000,7.440000,6.600000,6.830000,6.830000,685300
2010-05-21,6.650000,7.350000,6.460000,7.060000,7.060000,1131600
2010-05-28,7.060000,7.630000,6.580000,7.300000,7.300000,702600
2010-06-04,7.010000,7.420000,6.090000,6.960000,6.960000,959300
2010-06-11,6.950000,8.090000,6.870000,7.450000,7.450000,791300
2010-06-18,7.510000,7.780000,6.660000,7.270000,7.270000,641700
2010-06-25,7.290000,7.520000,6.330000,6.870000,6.870000,1057900
2010-07-02,6.980000,7.690000,6.980000,7.510000,7.510000,638400
2010-07-09,7.460000,7.760000,7.180000,7.400000,7.400000,370600
2010-07-16,7.320000,7.450000,6.900000,7.260000,7.260000,616700
2010-07-23,7.200000,8.050000,7.200000,7.780000,7.780000,506000
2010-07-30,7.620000,8.310000,6.900000,6.990000,6.990000,444300
2010-08-06,6.830000,7.220000,5.370000,5.510000,5.510000,998100
2010-08-13,5.500000,5.540000,4.780000,5.000000,5.000000,1352900
2010-08-20,4.960000,5.000000,4.250000,4.400000,4.400000,946600
2010-08-27,4.480000,4.780000,4.300000,4.660000,4.660000,876000
2010-09-03,4.780000,5.250000,4.750000,5.070000,5.070000,623500
2010-09-10,5.120000,5.870000,5.080000,5.690000,5.690000,982600
2010-09-17,5.780000,6.590000,5.780000,5.990000,5.990000,1007500
2010-09-24,6.110000,6.620000,5.810000,6.500000,6.500000,861800
2010-10-01,6.580000,7.350000,6.420000,7.130000,7.130000,756300
2010-10-08,7.060000,7.420000,6.970000,7.290000,7.290000,740600
2010-10-15,7.310000,7.450000,6.870000,6.940000,6.940000,692400
2010-10-22,7.000000,7.050000,6.110000,6.160000,6.160000,438100
2010-10-29,6.140000,6.520000,5.640000,6.050000,6.050000,586100
2010-11-05,6.090000,6.150000,5.300000,5.720000,5.720000,526300
2010-11-12,5.630000,5.720000,5.070000,5.310000,5.310000,384700
2010-11-19,5.300000,5.300000,4.850000,5.100000,5.100000,287100
2010-11-26,5.090000,5.240000,4.860000,4.890000,4.890000,534700
2010-12-03,4.850000,5.200000,4.660000,5.100000,5.100000,473300
2010-12-10,5.120000,6.190000,5.080000,5.800000,5.800000,970900
2010-12-17,5.790000,6.190000,5.630000,6.070000,6.070000,947900
2010-12-24,6.030000,6.070000,5.550000,5.900000,5.900000,197400
2010-12-31,5.870000,5.870000,5.380000,5.400000,5.400000,684500
2011-01-07,5.400000,5.710000,5.140000,5.370000,5.370000,771300
2011-01-14,5.370000,5.820000,5.370000,5.660000,5.660000,594600
2011-01-21,5.710000,5.950000,5.330000,5.770000,5.770000,538700
2011-01-28,5.780000,5.950000,5.500000,5.910000,5.910000,681000
2011-02-04,5.890000,6.460000,5.650000,6.400000,6.400000,567400
2011-02-11,6.330000,6.500000,5.740000,5.740000,5.740000,570800
2011-02-18,5.730000,5.760000,5.200000,5.380000,5.380000,596400
2011-02-25,5.440000,5.650000,4.910000,5.340000,5.340000,768900
2011-03-04,5.340000,5.340000,4.780000,4.970000,4.970000,493200
2011-03-11,4.940000,5.160000,4.740000,4.960000,4.960000,365300
2011-03-18,5.020000,5.510000,4.980000,5.480000,5.480000,426500
2011-03-25,5.530000,5.790000,5.380000,5.740000,5.740000,318300
2011-04-01,5.770000,5.830000,5.340000,5.390000,5.390000,341400
2011-04-08,5.450000,5.450000,4.900000,5.040000,5.040000,350200
2011-04-15,5.050000,5.130000,4.840000,4.990000,4.990000,359300
2011-04-22,4.960000,5.320000,4.960000,5.190000,5.190000,468700
