Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,7.677442,8.740337,7.554462,8.670063,5.200219,1005206
2010-01-08,8.687632,8.916022,8.301124,8.397751,5.036889,1066112
2010-01-15,8.432888,9.399157,8.301124,9.012649,5.405699,1962146
2010-01-22,9.126845,9.170766,8.397751,8.652495,5.189682,1066226
2010-01-29,8.617358,8.749122,7.984891,8.028812,4.815603,590943
2010-02-05,7.923401,7.923401,7.167955,7.387561,4.430987,550189
2010-02-12,7.352424,7.923401,7.308503,7.554462,4.531093,452515
2010-02-19,7.475404,7.642305,7.361209,7.536894,4.520555,144578
2010-02-26,7.554462,8.265987,7.466620,7.958538,4.773453,346529
2010-03-05,7.958538,8.011244,7.580815,7.730148,4.636467,143894
2010-03-12,7.747716,7.949754,7.273366,7.642305,4.583780,432933
2010-03-19,7.457836,7.730148,5.973296,6.140197,3.682830,2857953
2010-03-26,6.351019,6.351019,5.903022,5.946943,3.566918,1206818
2010-04-02,5.938159,6.052354,5.920590,6.043570,3.624874,232120
2010-04-09,6.043570,6.386156,6.043570,6.351019,3.809279,435666
2010-04-16,6.324666,6.351019,6.105060,6.210471,3.724980,224947
2010-04-23,6.184118,6.588194,6.175334,6.526704,3.914653,348009
2010-04-30,6.526704,6.526704,5.832748,6.192902,3.714442,475737
2010-05-07,6.166550,6.368587,5.815179,5.894238,3.535306,201041
2010-05-14,5.894238,6.008433,5.358398,5.516514,3.308751,197511
2010-05-21,5.419888,5.692200,5.059733,5.613141,3.366707,223583
2010-05-28,5.744905,5.744905,5.358398,5.498946,3.298214,135925
2010-06-04,5.472593,5.569220,5.015812,5.305692,3.182302,175540
2010-06-11,5.270555,5.411103,5.042164,5.270555,3.161227,183054
2010-06-18,5.349613,5.525299,5.042164,5.042164,3.024241,228932
2010-06-25,5.059733,5.894238,4.708363,5.560436,3.335095,465377
2010-07-02,5.630710,5.648278,5.033380,5.340829,3.203377,183738
2010-07-09,5.270555,5.340829,4.848911,4.963106,2.976822,396959
2010-07-16,4.813774,5.042164,4.813774,4.831342,2.897792,862110
2010-07-23,4.831342,5.209065,4.831342,5.042164,3.024241,582975
2010-07-30,5.033380,5.270555,4.963106,5.270555,3.161227,405726
2010-08-06,5.305692,5.534083,5.270555,5.455025,3.271871,277882
2010-08-13,5.455025,5.788826,5.165144,5.595573,3.356170,598456
2010-08-20,5.709768,6.210471,5.481377,5.894238,3.535306,581266
2010-08-27,5.938159,5.938159,5.674631,5.920590,3.551112,186128
2010-09-03,6.069923,6.069923,5.578004,5.832748,3.498425,173720
2010-09-10,5.753689,6.544273,5.753689,6.491567,3.893579,379656
2010-09-17,6.403725,6.588194,5.797611,6.043570,3.624874,305889
2010-09-24,6.122628,6.219255,5.982080,6.148981,3.688099,146740
2010-10-01,6.148981,6.307098,5.850316,6.122628,3.672292,502035
2010-10-08,6.148981,6.236824,5.938159,6.140197,3.682830,237698
2010-10-15,6.236824,6.570625,6.131413,6.456430,3.872504,550645
2010-10-22,6.500351,6.544273,6.280745,6.386156,3.830354,324330
2010-10-29,6.368587,6.430077,6.052354,6.280745,3.767130,330249
2010-11-05,6.421293,7.018623,6.421293,6.676037,4.004222,1363689
2010-11-12,6.719958,6.719958,6.148981,6.210471,3.724980,753849
2010-11-19,6.166550,6.772663,6.157765,6.588194,3.951534,526737
2010-11-26,6.570625,6.772663,6.403725,6.711174,4.025297,433161
2010-12-03,6.579410,6.807800,6.553057,6.588194,3.951534,258643
2010-12-10,6.570625,6.676037,6.236824,6.456430,3.872504,335715
2010-12-17,6.676037,6.676037,6.368587,6.588194,3.951534,269573
2010-12-24,6.544273,6.667252,6.271961,6.526704,3.914653,137405
2010-12-31,6.535488,6.667252,6.377372,6.588194,3.951534,126704
2011-01-07,6.623331,6.737526,6.482783,6.614547,3.967340,286991
2011-01-14,6.632115,6.632115,6.298313,6.412509,3.846160,229274
2011-01-21,6.403725,6.676037,6.333450,6.588194,3.951534,473232
2011-01-28,6.588194,6.614547,6.113844,6.113844,3.667024,314312
2011-02-04,6.113844,6.131413,5.753689,5.762474,3.456276,211857
2011-02-11,5.762474,5.841532,5.472593,5.578004,3.345632,214929
2011-02-18,5.604357,6.148981,5.411103,5.806395,3.482620,200813
2011-02-25,5.885453,5.885453,5.472593,5.498946,3.298214,116459
2011-03-04,5.569220,5.595573,5.191497,5.314476,3.187571,90389
2011-03-11,5.288124,5.578004,4.550246,4.611736,2.766074,238723
2011-03-18,4.743500,4.796205,4.392129,4.444835,2.665968,800295
2011-03-25,4.400914,5.736121,4.400914,4.963106,2.976822,836382
2011-04-01,4.989459,5.173928,4.840126,5.024596,3.013704,160514
2011-04-08,5.033380,5.182713,4.963106,5.147576,3.087466,222102
2011-04-15,5.173928,5.173928,4.857695,4.954322,2.971554,105074
2011-04-22,4.927969,4.954322,4.831342,4.875264,2.924136,89819
2011-04-29,4.866479,4.884048,4.304287,4.559030,2.734462,255912
2011-05-06,4.506325,4.532677,4.392129,4.444835,2.665968,170418
2011-05-13,4.392129,4.418482,3.786015,3.838721,2.302427,350854
2011-05-20,3.821152,3.821152,3.320450,3.627899,2.175978,423599
2011-05-27,3.583978,4.014406,3.583978,3.873858,2.323502,256595
2011-06-03,3.865074,3.988053,3.706957,3.777231,2.265546,386373
2011-06-10,3.750878,3.821152,3.689389,3.777231,2.265546,132168
2011-06-17,3.803584,3.812368,3.443429,3.671820,2.202322,272077
2011-06-24,3.689389,3.794800,3.566409,3.715741,2.228665,126136
2011-07-01,3.654252,3.786015,3.636683,3.750878,2.249740,67052
2011-07-08,3.627899,3.794800,3.619115,3.724526,2.233934,121581
2011-07-15,3.750878,3.777231,3.074491,3.118412,1.870393,224151
2011-07-22,3.074491,3.267744,2.907590,3.206254,1.923080,1138855
2011-07-29,3.250176,3.496135,3.127196,3.127196,1.875662,342545
2011-08-05,3.153549,3.865074,3.127196,3.583978,2.149635,263994
2011-08-12,3.601546,3.689389,3.144765,3.206254,1.923080,140365
2011-08-19,3.179902,3.469782,3.083275,3.311665,1.986304,85835
2011-08-26,3.294097,3.390724,3.179902,3.285313,1.970499,74224
2011-09-02,3.162333,3.373155,2.969079,3.153549,1.985002,117710
2011-09-09,3.092059,3.179902,2.758257,2.986648,1.879946,159262
2011-09-16,2.986648,3.118412,2.802178,2.881237,1.813595,100294
2011-09-23,2.881237,3.144765,2.881237,2.986648,1.879946,172810
2011-09-30,2.837316,3.030569,2.591356,2.600141,1.636659,268548
2011-10-07,2.600141,2.942727,2.600141,2.881237,1.813595,136835
2011-10-14,2.890021,3.030569,2.837316,2.907590,1.830183,94942
2011-10-21,2.960295,3.250176,2.872453,3.100843,1.951826,138544
2011-10-28,3.118412,3.241391,3.074491,3.223823,2.029236,84924
2011-11-04,3.250176,3.338018,3.215039,3.294097,2.073470,179298
2011-11-11,3.162333,3.417077,2.995432,3.065706,1.929709,139796
