Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,6.890000,7.250000,6.820000,7.030000,7.030000,1235000
2010-01-08,6.960000,7.200000,6.750000,6.850000,6.850000,1179300
2010-01-15,6.880000,6.980000,6.430000,6.440000,6.440000,4215900
2010-01-22,6.470000,6.680000,6.150000,6.250000,6.250000,1831700
2010-01-29,6.240000,6.300000,5.950000,6.050000,6.050000,1280700
2010-02-05,6.080000,6.080000,5.790000,5.940000,5.940000,1032000
2010-02-12,5.880000,6.350000,5.750000,6.350000,6.350000,1134700
2010-02-19,6.350000,6.460000,6.150000,6.360000,6.360000,913400
2010-02-26,6.340000,6.770000,6.300000,6.660000,6.660000,1231200
2010-03-05,6.350000,6.360000,5.900000,5.980000,5.980000,2253300
2010-03-12,6.090000,6.210000,5.950000,5.950000,5.950000,854400
2010-03-19,5.910000,6.490000,5.810000,6.360000,6.360000,1716800
2010-03-26,6.330000,6.490000,6.130000,6.160000,6.160000,1269100
2010-04-02,6.140000,6.360000,6.100000,6.190000,6.190000,653900
2010-04-09,6.190000,6.280000,6.020000,6.090000,6.090000,1116000
2010-04-16,6.090000,6.400000,6.080000,6.200000,6.200000,1729400
2010-04-23,6.200000,6.390000,6.060000,6.170000,6.170000,1178100
2010-04-30,6.150000,6.280000,5.000000,5.390000,5.390000,1610700
2010-05-07,4.350000,4.880000,4.130000,4.460000,4.460000,5554000
2010-05-14,4.320000,4.480000,3.990000,3.990000,3.990000,2399000
2010-05-21,3.930000,4.040000,3.690000,3.710000,3.710000,2295100
2010-05-28,3.720000,3.740000,3.340000,3.400000,3.400000,2511300
2010-06-04,3.320000,3.420000,3.150000,3.270000,3.270000,2119800
2010-06-11,3.220000,4.090000,3.220000,3.990000,3.990000,2489400
2010-06-18,4.010000,4.040000,3.650000,3.760000,3.760000,2288900
2010-06-25,3.780000,4.570000,3.640000,3.910000,3.910000,6669400
2010-07-02,3.920000,4.160000,3.760000,4.140000,4.140000,1374300
2010-07-09,4.120000,4.140000,3.600000,3.660000,3.660000,1710800
2010-07-16,3.650000,3.880000,3.520000,3.880000,3.880000,1229700
2010-07-23,3.880000,4.230000,3.840000,4.110000,4.110000,1416000
2010-07-30,4.050000,4.180000,3.970000,4.110000,4.110000,1082500
2010-08-06,3.900000,4.150000,3.830000,4.000000,4.000000,1188600
2010-08-13,4.000000,4.040000,3.780000,3.840000,3.840000,1087100
2010-08-20,3.810000,4.040000,3.610000,3.630000,3.630000,2033000
2010-08-27,3.700000,3.760000,3.080000,3.430000,3.430000,4124900
2010-09-03,3.460000,3.530000,3.250000,3.310000,3.310000,1167500
2010-09-10,3.320000,3.650000,3.320000,3.450000,3.450000,990700
2010-09-17,3.480000,3.620000,3.260000,3.380000,3.380000,1591600
2010-09-24,3.450000,3.710000,3.450000,3.590000,3.590000,1487800
2010-10-01,3.630000,3.770000,3.550000,3.620000,3.620000,1029100
2010-10-08,3.630000,3.990000,3.530000,3.680000,3.680000,1607600
2010-10-15,3.740000,3.980000,3.700000,3.880000,3.880000,1026500
2010-10-22,3.880000,3.900000,3.600000,3.610000,3.610000,1493500
2010-10-29,3.610000,3.760000,3.500000,3.660000,3.660000,1622900
2010-11-05,3.420000,3.850000,3.330000,3.770000,3.770000,1912300
2010-11-12,3.720000,3.750000,3.400000,3.620000,3.620000,886500
2010-11-19,3.620000,3.650000,3.300000,3.490000,3.490000,836900
2010-11-26,3.450000,3.660000,3.300000,3.650000,3.650000,842900
2010-12-03,3.590000,3.950000,3.550000,3.940000,3.940000,1288500
2010-12-10,3.930000,3.950000,3.610000,3.720000,3.720000,822600
2010-12-17,3.740000,3.780000,3.570000,3.650000,3.650000,1159700
2010-12-24,3.620000,3.810000,3.610000,3.640000,3.640000,1037800
2010-12-31,3.640000,4.360000,3.640000,3.920000,3.920000,4126300
2011-01-07,3.920000,4.260000,3.850000,4.070000,4.070000,1825800
2011-01-14,4.050000,4.140000,3.620000,3.650000,3.650000,1585700
2011-01-21,3.680000,3.850000,3.450000,3.580000,3.580000,2363800
2011-01-28,3.500000,3.660000,3.380000,3.650000,3.650000,2063200
2011-02-04,3.660000,3.700000,3.360000,3.440000,3.440000,1179200
2011-02-11,3.430000,3.490000,3.250000,3.340000,3.340000,1461500
2011-02-18,3.360000,3.430000,3.200000,3.300000,3.300000,863200
2011-02-25,3.330000,3.500000,3.280000,3.440000,3.440000,1362300
2011-03-04,3.110000,3.380000,2.950000,3.000000,3.000000,2543100
2011-03-11,3.000000,3.180000,2.880000,3.050000,3.050000,1448400
2011-03-18,3.100000,3.450000,3.020000,3.280000,3.280000,1217600
2011-03-25,3.290000,3.480000,3.140000,3.180000,3.180000,2635100
2011-04-01,3.220000,3.290000,3.080000,3.130000,3.130000,1120600
2011-04-08,3.150000,3.300000,3.000000,3.130000,3.130000,1049900
2011-04-15,3.130000,3.260000,2.840000,3.170000,3.170000,2680800
2011-04-22,3.170000,3.250000,3.100000,3.190000,3.190000,706200
2011-04-29,3.200000,3.210000,2.880000,2.880000,2.880000,1074000
2011-05-06,2.740000,3.080000,2.700000,3.050000,3.050000,1696800
2011-05-13,3.080000,3.100000,2.710000,2.980000,2.980000,1029800
2011-05-20,2.960000,3.020000,2.600000,2.720000,2.720000,911400
2011-05-27,2.750000,2.800000,2.560000,2.650000,2.650000,783900
2011-06-03,2.590000,2.620000,2.350000,2.400000,2.400000,1001300
2011-06-10,2.380000,2.920000,2.350000,2.870000,2.870000,1311000
2011-06-17,2.900000,2.930000,2.650000,2.860000,2.860000,1676500
2011-06-24,2.870000,3.400000,2.850000,3.270000,3.270000,4774600
2011-07-01,3.270000,3.300000,3.100000,3.300000,3.300000,731300
2011-07-08,3.230000,3.280000,2.940000,3.060000,3.060000,768000
2011-07-15,3.060000,3.290000,2.960000,3.210000,3.210000,977800
2011-07-22,3.170000,3.190000,2.820000,2.940000,2.940000,862800
2011-07-29,2.920000,3.090000,2.800000,2.980000,2.980000,2020600
2011-08-05,2.800000,2.890000,2.210000,2.380000,2.380000,2180600
2011-08-12,2.410000,2.450000,2.200000,2.240000,2.240000,1194200
2011-08-19,2.200000,2.680000,2.090000,2.520000,2.520000,1182500
2011-08-26,2.510000,2.920000,2.430000,2.510000,2.510000,925100
2011-09-02,2.440000,2.590000,2.310000,2.500000,2.500000,733100
2011-09-09,2.460000,2.750000,2.380000,2.530000,2.530000,858600
2011-09-16,2.550000,2.780000,2.480000,2.620000,2.620000,1010800
2011-09-23,2.620000,3.150000,2.530000,3.100000,3.100000,2958800
2011-09-30,3.050000,3.100000,2.680000,2.930000,2.930000,1555700
2011-10-07,2.950000,3.080000,2.820000,3.060000,3.060000,1375200
2011-10-14,3.090000,3.150000,2.830000,2.930000,2.930000,862900
2011-10-21,3.010000,3.440000,2.900000,3.440000,3.440000,1236500
2011-10-28,3.430000,3.500000,2.960000,3.170000,3.170000,960200
2011-11-04,2.850000,3.020000,2.610000,2.630000,2.630000,1387600
2011-11-11,2.660000,2.690000,2.420000,2.520000,2.520000,943600
2011-11-18,2.490000,2.720000,2.250000,2.270000,2.270000,805000
2011-11-25,2.250000,2.920000,2.250000,2.630000,2.630000,1504500
2011-12-02,2.640000,2.810000,2.500000,2.520000,2.520000,560300
2011-12-09,2.540000,2.930000,2.540000,2.790000,2.790000,914900
2011-12-16,2.830000,2.890000,2.470000,2.520000,2.520000,1530400
2011-12-23,2.530000,2.840000,2.510000,2.730000,2.730000,2032500
2011-12-30,2.750000,2.780000,2.550000,2.580000,2.580000,812400
2012-01-06,2.570000,2.610000,2.450000,2.610000,2.610000,498000
2012-01-13,2.560000,2.630000,2.480000,2.590000,2.590000,407400
2012-01-20,2.600000,2.700000,2.550000,2.680000,2.680000,448700
2012-01-27,2.660000,2.690000,2.280000,2.330000,2.330000,857200
2012-02-03,2.410000,2.590000,2.350000,2.490000,2.490000,507800
2012-02-10,2.450000,2.520000,2.370000,2.460000,2.460000,362100
2012-02-17,2.480000,2.480000,2.340000,2.420000,2.420000,226400
2012-02-24,2.450000,2.500000,2.020000,2.190000,2.190000,4938700
