Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,6.230000,6.560000,5.750000,5.960000,5.960000,124400
2010-01-08,6.070000,6.680000,5.870000,6.350000,6.350000,267700
2010-01-15,6.420000,6.570000,6.020000,6.100000,6.100000,197200
2010-01-22,6.090000,6.500000,6.050000,6.100000,6.100000,234300
2010-01-29,6.110000,6.250000,6.050000,6.060000,6.060000,163500
2010-02-05,6.130000,6.490000,6.000000,6.410000,6.410000,131200
2010-02-12,6.420000,6.490000,6.190000,6.490000,6.490000,92400
2010-02-19,6.480000,6.480000,6.010000,6.140000,6.140000,114800
2010-02-26,6.230000,6.380000,6.030000,6.040000,6.040000,216400
2010-03-05,6.010000,6.420000,6.010000,6.360000,6.360000,102500
2010-03-12,6.230000,6.290000,6.150000,6.200000,6.200000,91400
2010-03-19,6.230000,6.320000,5.830000,6.200000,6.200000,126700
2010-03-26,6.210000,6.310000,6.000000,6.170000,6.170000,145400
2010-04-02,6.180000,6.180000,5.950000,6.120000,6.120000,228200
2010-04-09,6.150000,6.970000,6.070000,6.580000,6.580000,144500
2010-04-16,6.590000,6.870000,6.400000,6.610000,6.610000,167100
2010-04-23,6.510000,6.890000,6.130000,6.760000,6.760000,224700
2010-04-30,6.760000,7.140000,6.380000,6.540000,6.540000,325200
2010-05-07,6.750000,7.960000,6.260000,7.780000,7.780000,374000
2010-05-14,7.660000,7.660000,6.350000,6.400000,6.400000,240600
2010-05-21,6.330000,7.340000,6.120000,7.170000,7.170000,201200
2010-05-28,7.120000,7.510000,6.600000,7.230000,7.230000,193600
2010-06-04,7.010000,7.190000,6.170000,6.330000,6.330000,202300
2010-06-11,6.260000,6.800000,6.160000,6.340000,6.340000,134400
2010-06-18,6.390000,6.470000,6.100000,6.100000,6.100000,278300
2010-06-25,6.110000,6.190000,5.680000,5.920000,5.920000,967400
2010-07-02,5.990000,6.210000,5.750000,5.930000,5.930000,172700
2010-07-09,5.900000,5.940000,5.500000,5.600000,5.600000,266300
2010-07-16,5.560000,6.000000,5.220000,5.720000,5.720000,452500
2010-07-23,5.670000,6.330000,5.620000,6.000000,6.000000,117800
2010-07-30,5.880000,6.320000,5.550000,5.900000,5.900000,64000
2010-08-06,5.820000,6.160000,5.290000,5.310000,5.310000,103800
2010-08-13,5.280000,5.550000,4.980000,5.000000,5.000000,205000
2010-08-20,4.930000,5.210000,4.420000,4.850000,4.850000,284300
2010-08-27,4.950000,5.100000,4.650000,5.010000,5.010000,137100
2010-09-03,5.090000,5.110000,4.590000,4.950000,4.950000,99100
2010-09-10,4.960000,6.000000,4.960000,5.610000,5.610000,114200
2010-09-17,5.700000,5.870000,5.320000,5.340000,5.340000,106600
2010-09-24,5.450000,5.810000,5.250000,5.510000,5.510000,84900
2010-10-01,5.550000,5.830000,5.090000,5.590000,5.590000,118200
2010-10-08,5.860000,6.000000,5.360000,5.980000,5.980000,96400
2010-10-15,6.000000,6.200000,5.700000,5.930000,5.930000,115700
2010-10-22,5.950000,6.120000,5.500000,5.580000,5.580000,83800
2010-10-29,5.560000,6.500000,5.560000,6.500000,6.500000,78900
2010-11-05,6.500000,6.990000,6.320000,6.700000,6.700000,74400
2010-11-12,6.600000,6.700000,5.950000,6.560000,6.560000,92700
2010-11-19,6.600000,6.860000,6.110000,6.860000,6.860000,63300
2010-11-26,6.760000,6.930000,6.240000,6.370000,6.370000,75400
2010-12-03,6.310000,6.450000,5.750000,5.790000,5.790000,214000
2010-12-10,5.800000,6.400000,5.700000,6.090000,6.090000,405200
2010-12-17,6.130000,6.760000,5.990000,6.420000,6.420000,366000
2010-12-24,6.460000,6.600000,5.950000,6.050000,6.050000,250600
2010-12-31,6.060000,6.150000,5.870000,5.940000,5.940000,162000
2011-01-07,5.980000,6.040000,5.750000,5.950000,5.950000,156500
2011-01-14,5.960000,6.000000,5.700000,5.720000,5.720000,154900
2011-01-21,5.740000,5.860000,5.330000,5.750000,5.750000,287000
2011-01-28,5.750000,5.930000,5.390000,5.790000,5.790000,120900
2011-02-04,5.750000,5.820000,5.550000,5.650000,5.650000,72600
2011-02-11,5.590000,5.860000,5.550000,5.670000,5.670000,40600
2011-02-18,5.740000,5.820000,5.280000,5.670000,5.670000,107500
2011-02-25,5.600000,5.860000,5.460000,5.750000,5.750000,88500
2011-03-04,5.760000,5.760000,5.380000,5.480000,5.480000,132300
2011-03-11,5.570000,5.580000,5.300000,5.440000,5.440000,104100
2011-03-18,5.470000,5.590000,5.230000,5.580000,5.580000,79700
2011-03-25,5.580000,5.880000,5.390000,5.880000,5.880000,75200
2011-04-01,5.900000,5.980000,5.760000,5.860000,5.860000,105700
2011-04-08,5.860000,5.860000,5.580000,5.750000,5.750000,96700
2011-04-15,5.790000,5.990000,5.600000,5.960000,5.960000,856100
2011-04-22,5.920000,6.010000,5.890000,6.000000,6.000000,82100
2011-04-29,6.010000,6.020000,5.600000,5.710000,5.710000,115600
2011-05-06,5.850000,7.750000,5.750000,7.000000,7.000000,578000
