Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,7.700000,8.100000,7.520000,8.040000,8.040000,276000
2010-01-08,7.990000,8.360000,7.750000,8.000000,8.000000,170900
2010-01-15,8.020000,8.190000,7.650000,7.790000,7.790000,310200
2010-01-22,7.800000,7.840000,7.180000,7.390000,7.390000,355800
2010-01-29,7.460000,7.690000,7.150000,7.340000,7.340000,287400
2010-02-05,7.370000,7.640000,7.110000,7.330000,7.330000,273500
2010-02-12,7.290000,7.550000,7.010000,7.500000,7.500000,143700
2010-02-19,7.500000,7.500000,6.490000,6.800000,6.800000,305700
2010-02-26,6.780000,7.480000,6.510000,7.410000,7.410000,298100
2010-03-05,7.470000,7.940000,7.400000,7.730000,7.730000,210400
2010-03-12,7.730000,7.840000,7.300000,7.420000,7.420000,249000
2010-03-19,7.320000,7.920000,6.980000,7.660000,7.660000,482500
2010-03-26,7.590000,7.930000,6.750000,7.210000,7.210000,434600
2010-04-02,7.160000,7.680000,7.130000,7.650000,7.650000,242100
2010-04-09,7.620000,7.650000,6.980000,7.200000,7.200000,188700
2010-04-16,7.210000,7.300000,6.850000,7.230000,7.230000,197000
2010-04-23,7.220000,7.410000,6.520000,7.040000,7.040000,323100
2010-04-30,7.000000,7.000000,5.860000,6.070000,6.070000,682300
2010-05-07,5.970000,6.070000,5.060000,5.350000,5.350000,516400
2010-05-14,5.320000,5.380000,4.610000,4.640000,4.640000,425100
2010-05-21,4.520000,4.840000,4.370000,4.630000,4.630000,437000
2010-05-28,4.600000,4.700000,4.000000,4.230000,4.230000,285400
2010-06-04,4.220000,4.510000,3.560000,4.510000,4.510000,471300
2010-06-11,4.460000,5.140000,4.420000,4.550000,4.550000,421000
2010-06-18,4.590000,4.700000,4.370000,4.370000,4.370000,385700
2010-06-25,4.250000,5.010000,3.890000,3.990000,3.990000,1492600
2010-07-02,4.040000,4.270000,3.820000,4.270000,4.270000,394900
2010-07-09,4.270000,4.590000,4.000000,4.290000,4.290000,293100
2010-07-16,4.310000,4.340000,4.050000,4.260000,4.260000,104600
2010-07-23,4.200000,4.800000,4.200000,4.590000,4.590000,220000
2010-07-30,4.550000,4.750000,4.420000,4.630000,4.630000,128600
2010-08-06,4.630000,5.500000,4.590000,4.810000,4.810000,346700
2010-08-13,4.820000,5.000000,4.800000,4.910000,4.910000,98800
2010-08-20,4.980000,4.980000,4.520000,4.590000,4.590000,117100
2010-08-27,4.600000,4.630000,4.380000,4.490000,4.490000,97900
2010-09-03,4.500000,4.610000,4.400000,4.420000,4.420000,54300
2010-09-10,4.450000,4.560000,4.310000,4.370000,4.370000,64300
2010-09-17,4.420000,4.420000,4.120000,4.120000,4.120000,127700
2010-09-24,4.190000,4.310000,3.970000,4.180000,4.180000,261800
2010-10-01,4.200000,4.470000,3.980000,4.330000,4.330000,486000
2010-10-08,4.360000,4.900000,4.310000,4.500000,4.500000,199400
2010-10-15,4.580000,5.000000,4.500000,4.940000,4.940000,144700
2010-10-22,4.950000,5.200000,3.800000,4.160000,4.160000,539900
2010-10-29,4.170000,4.250000,4.010000,4.180000,4.180000,291100
2010-11-05,4.200000,4.250000,4.020000,4.220000,4.220000,156600
2010-11-12,4.220000,4.290000,4.010000,4.220000,4.220000,139400
2010-11-19,4.210000,4.340000,4.160000,4.280000,4.280000,156100
2010-11-26,4.300000,4.580000,4.210000,4.460000,4.460000,150500
2010-12-03,4.420000,4.460000,4.220000,4.260000,4.260000,124800
2010-12-10,4.300000,5.150000,4.220000,5.150000,5.150000,275100
2010-12-17,5.040000,6.000000,5.000000,5.550000,5.550000,571200
2010-12-24,5.570000,5.640000,5.110000,5.260000,5.260000,133300
2010-12-31,5.230000,5.750000,5.010000,5.540000,5.540000,162600
2011-01-07,5.550000,5.730000,5.120000,5.540000,5.540000,270900
2011-01-14,5.520000,5.750000,5.360000,5.420000,5.420000,230900
2011-01-21,5.450000,5.580000,5.420000,5.500000,5.500000,190800
