Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,19.129999,21.639999,17.990000,21.370001,20.951384,3299300
2021-01-08,21.750000,22.990000,19.620001,22.480000,22.039640,2918500
2021-01-15,22.129999,22.709999,20.180000,20.190001,19.794498,1808800
2021-01-22,19.930000,21.490000,17.080000,17.459999,17.117973,2018200
2021-01-29,17.430000,18.980000,16.639999,18.959999,18.588593,1854300
2021-02-05,19.309999,20.930000,18.629999,19.940001,19.549397,1897300
2021-02-12,19.780001,20.750000,19.500000,20.480000,20.078817,1101200
2021-02-19,20.500000,23.240000,20.350000,22.170000,21.735714,1931900
2021-02-26,22.270000,23.209999,21.639999,23.100000,22.647495,2125100
2021-03-05,23.440001,25.150000,23.209999,24.400000,23.922028,1756100
2021-03-12,24.580000,27.020000,24.559999,26.059999,25.549509,1731000
2021-03-19,26.000000,26.490000,23.690001,25.469999,25.064487,1641200
2021-03-26,25.750000,26.600000,24.680000,26.010000,25.595890,1312200
2021-04-02,26.270000,27.180000,24.545000,24.940001,24.542927,988800
2021-04-09,25.000000,25.200001,24.000000,24.910000,24.513403,873700
2021-04-16,25.000000,25.900000,23.820000,24.290001,23.903275,1192700
2021-04-23,24.540001,34.259998,24.180000,31.320000,30.821350,2682700
2021-04-30,31.100000,32.599998,29.980000,31.840000,31.333071,1956400
2021-05-07,31.889999,32.860001,28.879999,31.270000,30.772144,2077500
2021-05-14,31.510000,33.990002,31.139999,33.759998,33.222500,1196700
2021-05-21,33.980000,36.810001,33.535000,36.130001,35.554768,1299800
2021-05-28,36.450001,36.529999,35.360001,35.990002,35.417000,1109100
2021-06-04,35.910000,37.490002,35.540001,35.950001,35.377632,953200
2021-06-11,36.009998,36.900002,34.665001,34.820000,34.265625,1085600
2021-06-18,34.720001,35.459999,32.480000,33.160000,32.722626,1648300
2021-06-25,33.360001,34.740002,31.879999,32.169998,31.745680,3128200
2021-07-02,32.310001,33.000000,28.969999,29.830000,29.436546,1584500
2021-07-09,30.200001,31.280001,27.900000,27.980000,27.610947,1546100
2021-07-16,28.309999,29.650000,27.049999,27.799999,27.433321,1307700
2021-07-23,27.860001,30.750000,26.700001,28.520000,28.143826,2509300
2021-07-30,28.500000,29.790001,27.469999,27.959999,27.591209,1161900
2021-08-06,28.180000,29.670000,26.840000,29.459999,29.071426,1163500
2021-08-13,29.340000,30.250000,27.309999,28.299999,27.926725,1511300
2021-08-20,28.209999,29.000000,26.660000,26.959999,26.604403,1288600
2021-08-27,26.950001,28.160000,26.309999,26.549999,26.199808,1354700
2021-09-03,26.760000,27.090000,26.049999,26.690001,26.337965,724100
2021-09-10,27.070000,27.160000,25.559999,26.400000,26.051786,1012100
2021-09-17,26.490000,28.715000,25.930000,27.799999,27.539816,1798200
2021-09-24,27.440001,29.315001,27.330000,27.540001,27.282251,742600
2021-10-01,27.600000,28.559999,27.080000,28.200001,27.936073,775800
2021-10-08,28.270000,28.299999,26.459999,27.620001,27.361504,548000
2021-10-15,28.250000,29.940001,27.410000,29.480000,29.204094,661700
2021-10-22,29.639999,31.690001,22.264000,23.110001,22.893711,2952700
2021-10-29,23.030001,26.700001,23.030001,25.200001,24.964151,1387500
2021-11-05,25.549999,27.420000,25.350000,26.540001,26.291611,1065000
2021-11-12,26.600000,26.760000,24.820000,25.650000,25.409939,693800
2021-11-19,25.400000,26.360001,24.139999,24.920000,24.686771,821800
2021-11-26,24.020000,24.730000,21.850000,22.850000,22.636147,1483600
2021-12-03,23.000000,24.910000,22.660000,24.379999,24.151825,1234000
2021-12-10,24.400000,24.620001,22.690001,23.549999,23.329594,1542500
2021-12-17,23.549999,24.850000,22.950001,24.490000,24.364210,1485800
2021-12-24,24.540001,25.299999,24.120001,24.440001,24.314468,470300
2021-12-31,24.549999,25.959999,24.070000,24.420000,24.294569,833100
2022-01-07,24.120001,24.535000,22.715000,22.900000,22.782377,931600
2022-01-14,22.559999,23.094999,21.389999,21.469999,21.359722,725900
2022-01-21,21.330000,22.719999,20.490999,20.719999,20.613573,1197100
2022-01-28,20.879999,22.340000,20.090000,21.309999,21.200544,2209500
2022-02-04,21.170000,22.129999,20.250000,20.969999,20.862289,1278300
2022-02-11,21.120001,21.840000,20.400000,21.160000,21.051313,1129100
2022-02-18,21.000000,21.690001,18.257999,20.230000,20.126091,1570100
2022-02-25,20.230000,22.650000,20.230000,22.540001,22.424227,1295700
2022-03-04,22.389999,22.780001,20.719999,21.650000,21.538797,1321900
2022-03-11,21.820000,23.200001,21.080000,23.129999,23.011194,1229000
2022-03-18,22.930000,23.629999,21.030001,21.400000,21.400000,2857800
2022-03-25,21.530001,22.490000,19.840000,20.080000,20.080000,1336600
2022-04-01,20.510000,21.480000,19.620001,20.830000,20.830000,1525600
2022-04-08,20.670000,22.230000,20.450001,21.379999,21.379999,1129000
2022-04-15,21.260000,22.430000,20.930000,21.049999,21.049999,665900
2022-04-22,20.860001,21.629999,19.110001,20.660000,20.660000,1391100
2022-04-29,20.370001,21.139999,20.370001,20.530001,20.530001,255400
