Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,2.490000,2.490000,2.020000,2.240000,2.240000,61600
2021-01-08,2.230000,2.430000,2.200000,2.330000,2.330000,76500
2021-01-15,2.300000,2.340000,2.110000,2.340000,2.340000,116800
2021-01-22,2.310000,2.490000,2.280000,2.390000,2.390000,748900
2021-01-29,2.350000,2.490000,2.280000,2.430000,2.430000,155000
2021-02-05,2.410000,2.410000,2.200000,2.210000,2.210000,143200
2021-02-12,2.300000,2.330000,2.180000,2.250000,2.250000,60500
2021-02-19,2.320000,2.390000,2.180000,2.260000,2.260000,256000
2021-02-26,2.230000,2.350000,2.030000,2.060000,2.060000,285700
2021-03-05,2.160000,2.400000,2.070000,2.220000,2.220000,1177000
2021-03-12,2.350000,2.350000,2.030000,2.200000,2.200000,317900
2021-03-19,2.200000,2.270000,2.060000,2.150000,2.150000,122300
2021-03-26,2.070000,2.400000,2.070000,2.380000,2.380000,1022700
2021-04-02,2.450000,2.510000,2.300000,2.370000,2.370000,84100
2021-04-09,2.440000,2.440000,2.100000,2.260000,2.260000,29600
2021-04-16,2.140000,2.970000,1.410000,1.960000,1.960000,9168900
2021-04-23,1.930000,2.020000,1.550000,1.570000,1.570000,2902700
2021-04-30,1.620000,1.640000,1.430000,1.470000,1.470000,707000
2021-05-07,1.460000,1.750000,1.450000,1.710000,1.710000,1038600
2021-05-14,1.710000,1.720000,1.490000,1.610000,1.610000,399600
2021-05-21,1.520000,1.690000,1.450000,1.450000,1.450000,713400
2021-05-28,1.480000,1.730000,1.480000,1.700000,1.700000,717100
2021-06-04,1.670000,1.790000,1.450000,1.470000,1.470000,677600
2021-06-11,1.520000,1.780000,1.400000,1.600000,1.600000,1755700
2021-06-18,1.560000,1.650000,1.500000,1.600000,1.600000,394300
2021-06-25,1.580000,1.730000,1.550000,1.680000,1.680000,268600
2021-07-02,1.690000,1.720000,1.570000,1.700000,1.700000,621800
2021-07-09,1.680000,1.880000,1.650000,1.770000,1.770000,517500
2021-07-16,1.780000,1.940000,1.630000,1.690000,1.690000,1556000
2021-07-23,1.720000,1.810000,1.690000,1.790000,1.790000,72200
2021-07-30,1.770000,1.970000,1.710000,1.940000,1.940000,111100
2021-08-06,1.970000,1.970000,1.460000,1.500000,1.500000,471700
2021-08-13,1.530000,1.530000,1.220000,1.250000,1.250000,396900
2021-08-20,1.210000,1.470000,1.140000,1.440000,1.440000,5638800
2021-08-27,1.410000,1.890000,1.400000,1.590000,1.590000,1993100
2021-09-03,1.540000,1.600000,1.460000,1.510000,1.510000,161800
2021-09-10,1.480000,1.730000,1.460000,1.700000,1.700000,1506900
2021-09-17,1.630000,1.750000,1.620000,1.680000,1.680000,698400
2021-09-24,1.690000,1.900000,1.670000,1.840000,1.840000,526800
2021-10-01,1.840000,1.890000,1.740000,1.830000,1.830000,113200
2021-10-08,1.810000,1.920000,1.750000,1.810000,1.810000,426000
2021-10-15,1.790000,2.080000,1.790000,2.000000,2.000000,1127700
2021-10-22,1.950000,2.020000,1.910000,1.970000,1.970000,447200
2021-10-29,1.930000,2.020000,1.850000,1.910000,1.910000,86300
2021-11-05,1.870000,1.980000,1.790000,1.850000,1.850000,139300
2021-11-12,1.820000,1.900000,1.660000,1.830000,1.830000,801600
2021-11-19,1.890000,1.890000,1.480000,1.600000,1.600000,505200
2021-11-26,1.510000,1.700000,1.460000,1.540000,1.540000,161100
2021-12-03,1.500000,1.780000,1.490000,1.620000,1.620000,161700
2021-12-10,1.570000,1.670000,1.500000,1.620000,1.620000,49700
2021-12-17,1.700000,1.700000,1.350000,1.600000,1.600000,214600
2021-12-24,1.600000,1.700000,1.550000,1.630000,1.630000,100200
2021-12-31,1.650000,1.880000,1.580000,1.840000,1.840000,81700
2022-01-07,1.760000,2.030000,1.760000,2.000000,2.000000,243000
2022-01-14,1.990000,2.140000,1.800000,2.010000,2.010000,83000
2022-01-21,2.030000,2.030000,1.600000,1.740000,1.740000,32900
2022-01-28,1.920000,1.920000,1.710000,1.780000,1.780000,22800
2022-02-04,1.780000,1.940000,1.600000,1.700000,1.700000,49600
2022-02-11,1.760000,1.800000,1.660000,1.780000,1.780000,216500
2022-02-18,1.760000,1.780000,1.670000,1.720000,1.720000,8200
2022-02-25,1.680000,1.800000,1.680000,1.710000,1.710000,48600
2022-03-04,1.710000,1.820000,1.710000,1.770000,1.770000,15700
2022-03-11,1.820000,1.820000,1.640000,1.680000,1.680000,16100
2022-03-18,1.690000,1.790000,1.530000,1.650000,1.650000,31200
2022-03-25,1.650000,1.760000,1.620000,1.640000,1.640000,26100
2022-04-01,1.740000,2.190000,1.670000,2.110000,2.110000,227000
2022-04-08,2.150000,2.150000,1.820000,1.910000,1.910000,461200
2022-04-15,1.870000,2.080000,1.840000,1.900000,1.900000,18100
2022-04-22,1.860000,1.990000,1.690000,1.780000,1.780000,74100
2022-04-29,1.750000,1.950000,1.750000,1.910000,1.910000,2800
