Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,5.350000,5.440000,5.280000,5.330000,5.330000,1459700
2021-01-08,5.330000,5.440000,5.220000,5.380000,5.380000,1509000
2021-01-15,5.390000,5.860000,5.390000,5.650000,5.650000,1586700
2021-01-22,5.600000,5.700000,5.330000,5.360000,5.360000,1177200
2021-01-29,5.320000,5.550000,5.260000,5.370000,5.370000,1597600
2021-02-05,5.370000,5.770000,5.310000,5.550000,5.550000,2151300
2021-02-12,5.550000,5.720000,5.420000,5.420000,5.420000,1207600
2021-02-19,5.430000,5.500000,5.180000,5.260000,5.260000,1516700
2021-02-26,5.270000,5.300000,4.880000,5.050000,5.050000,2134000
2021-03-05,5.040000,5.430000,4.950000,5.180000,5.180000,2097300
2021-03-12,5.160000,5.360000,4.990000,5.020000,5.020000,2266900
2021-03-19,5.080000,5.270000,4.960000,5.230000,5.230000,2110500
2021-03-26,5.290000,5.650000,5.280000,5.550000,5.550000,2500900
2021-04-02,5.660000,5.660000,5.250000,5.320000,5.320000,1488800
2021-04-09,5.310000,5.350000,5.180000,5.300000,5.300000,1077900
2021-04-16,5.300000,5.350000,5.140000,5.240000,5.240000,1384000
2021-04-23,5.450000,5.740000,5.370000,5.390000,5.390000,2928000
2021-04-30,5.350000,5.460000,5.250000,5.280000,5.280000,1590200
2021-05-07,5.290000,5.360000,5.060000,5.250000,5.250000,1501900
2021-05-14,5.300000,5.660000,5.280000,5.520000,5.520000,1893200
2021-05-21,5.530000,5.550000,5.160000,5.280000,5.280000,1200000
2021-05-28,5.280000,5.360000,5.250000,5.290000,5.290000,1159500
2021-06-04,5.290000,5.310000,5.230000,5.270000,5.270000,1519300
2021-06-11,5.270000,5.360000,5.200000,5.310000,5.310000,851100
2021-06-18,5.280000,5.470000,5.230000,5.440000,5.440000,1049700
2021-06-25,5.410000,5.500000,5.220000,5.250000,5.250000,1248400
2021-07-02,5.280000,5.330000,5.180000,5.210000,5.210000,993200
2021-07-09,5.200000,5.500000,5.200000,5.290000,5.290000,1934100
2021-07-16,5.290000,5.320000,5.060000,5.170000,5.170000,2440800
2021-07-23,5.180000,5.180000,5.010000,5.040000,5.040000,1052000
2021-07-30,5.040000,5.170000,5.030000,5.150000,5.150000,1770200
2021-08-06,5.150000,5.300000,5.105000,5.140000,5.140000,1297200
2021-08-13,5.430000,5.740000,5.330000,5.330000,5.330000,2388100
2021-08-20,5.360000,5.445000,5.310000,5.410000,5.410000,911700
2021-08-27,5.410000,5.490000,5.340000,5.470000,5.470000,756800
2021-09-03,5.460000,5.550000,5.290000,5.330000,5.330000,504700
2021-09-10,5.310000,5.370000,5.230000,5.280000,5.280000,677200
2021-09-17,5.250000,5.620000,5.100000,5.460000,5.460000,1573100
2021-09-24,5.470000,5.690000,5.310000,5.350000,5.350000,1078800
2021-10-01,5.300000,5.340000,5.220000,5.260000,5.260000,857100
2021-10-08,5.290000,5.330000,5.240000,5.320000,5.320000,1348700
2021-10-15,5.310000,5.410000,5.280000,5.340000,5.340000,1013500
2021-10-22,5.310000,5.320000,5.150000,5.190000,5.190000,1068300
2021-10-29,5.200000,5.265000,5.100000,5.240000,5.240000,784000
2021-11-05,5.220000,5.530000,5.200000,5.290000,5.290000,1855000
2021-11-12,5.340000,5.520000,5.190000,5.340000,5.340000,4911500
2021-11-19,5.350000,5.400000,5.230000,5.360000,5.360000,1246500
2021-11-26,5.300000,5.360000,5.200000,5.250000,5.250000,1376000
2021-12-03,5.250000,5.280000,5.200000,5.250000,5.250000,1975400
2021-12-10,5.260000,5.290000,5.150000,5.210000,5.210000,4262400
2021-12-17,5.170000,5.300000,5.170000,5.220000,5.220000,1641200
2021-12-24,5.230000,5.320000,5.200000,5.300000,5.300000,582500
2021-12-31,5.290000,5.310000,5.250000,5.280000,5.280000,1261500
2022-01-07,5.300000,5.320000,5.250000,5.310000,5.310000,679900
2022-01-14,5.310000,5.570000,5.280000,5.320000,5.320000,1972200
2022-01-21,5.300000,5.400000,5.260000,5.360000,5.360000,1456500
2022-01-28,5.340000,5.640000,5.290000,5.510000,5.510000,959300
2022-02-04,5.520000,5.600000,5.440000,5.450000,5.450000,559800
2022-02-11,5.430000,5.520000,5.380000,5.380000,5.380000,494500
2022-02-18,5.360000,5.480000,5.250000,5.460000,5.460000,528200
2022-02-25,5.410000,5.520000,5.390000,5.400000,5.400000,917100
2022-03-04,5.400000,5.490000,5.350000,5.460000,5.460000,1402900
2022-03-11,5.460000,5.670000,5.420000,5.570000,5.570000,980900
2022-03-18,5.580000,5.650000,5.210000,5.220000,5.220000,1406000
2022-03-25,5.200000,5.250000,5.060000,5.220000,5.220000,3086300
2022-04-01,5.220000,5.400000,5.170000,5.350000,5.350000,1834000
2022-04-08,5.330000,5.370000,5.290000,5.350000,5.350000,547400
2022-04-15,5.300000,5.380000,5.300000,5.350000,5.350000,457700
2022-04-22,5.350000,5.400000,5.300000,5.330000,5.330000,918900
2022-04-29,5.330000,5.390000,5.310000,5.330000,5.330000,101700
