Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,17.540001,18.740000,16.920000,18.330000,17.544317,19018500
2021-01-08,18.700001,20.420000,18.270000,20.270000,19.401161,19772300
2021-01-15,19.930000,22.100000,19.500000,20.900000,20.004154,36974200
2021-01-22,20.719999,21.840000,20.469999,21.530001,20.607157,29575400
2021-01-29,21.350000,22.190001,20.500000,21.780001,20.846439,23274600
2021-02-05,21.799999,23.250000,21.600000,22.590000,21.621717,18071900
2021-02-12,22.360001,23.100000,21.790001,21.860001,20.923008,8675800
2021-02-19,22.070000,23.520000,21.920000,22.379999,21.568712,18980600
2021-02-26,22.360001,25.120001,21.830000,23.320000,22.474634,34317000
2021-03-05,23.650000,25.700001,22.389999,25.330000,24.411774,29219100
2021-03-12,25.540001,26.059999,24.799999,25.129999,24.219023,30381000
2021-03-19,25.010000,25.700001,22.820000,23.980000,23.110710,21212500
2021-03-26,24.469999,25.879999,23.959999,25.750000,24.816547,19648400
2021-04-02,26.000000,26.250000,25.360001,25.879999,24.941833,12472400
2021-04-09,26.080000,26.879999,25.790001,26.830000,25.857397,19190900
2021-04-16,26.990000,27.080000,25.430000,25.690001,24.758722,15517300
2021-04-23,25.860001,27.680000,25.760000,27.629999,26.628395,19203900
2021-04-30,27.420000,28.280001,26.580000,28.250000,27.225920,17850900
2021-05-07,28.040001,28.950001,26.260000,27.129999,26.146521,18272700
2021-05-14,27.340000,28.240000,26.080000,26.639999,25.829002,22944600
2021-05-21,26.780001,28.500000,26.440001,28.459999,27.593597,18829900
2021-05-28,28.590000,29.490000,26.080000,29.330000,28.437111,34283500
2021-06-04,29.459999,29.709999,28.480000,28.809999,27.932943,16982200
2021-06-11,28.920000,29.469999,26.930000,27.209999,26.381649,14441800
2021-06-18,26.629999,27.290001,26.139999,27.200001,26.371956,17314500
2021-06-25,27.280001,27.700001,26.250000,26.950001,26.129566,19707200
2021-07-02,26.969999,26.980000,24.930000,25.170000,24.403753,15220300
2021-07-09,25.950001,27.030001,25.490000,25.830000,25.043663,19005700
2021-07-16,26.059999,26.090000,23.900000,25.129999,24.364973,17352000
2021-07-23,25.350000,25.469999,23.330000,24.350000,23.608719,26388600
2021-07-30,24.260000,25.260000,23.920000,24.350000,23.608719,25050200
2021-08-06,24.750000,25.820000,24.530001,25.110001,24.345583,14716700
2021-08-13,25.170000,25.270000,23.139999,23.420000,22.858408,17664500
2021-08-20,23.440001,25.559999,23.350000,24.959999,24.361479,15356800
2021-08-27,24.930000,25.799999,24.690001,25.320000,24.712849,20041200
2021-09-03,25.200001,25.280001,24.290001,24.780001,24.185799,16563500
2021-09-10,24.980000,25.770000,24.420000,24.889999,24.293159,19428800
2021-09-17,26.540001,27.030001,23.440001,24.850000,24.254118,41879300
2021-09-24,24.709999,25.709999,24.070000,24.110001,23.531862,17136800
2021-10-01,24.209999,25.860001,23.950001,25.370001,24.761652,23467700
2021-10-08,25.240000,25.610001,23.910000,25.170000,24.566446,13882100
2021-10-15,25.500000,25.660000,24.420000,25.000000,24.400520,15374100
2021-10-22,25.270000,25.959999,24.520000,25.490000,24.878773,26456100
2021-10-29,25.410000,26.820000,25.299999,25.930000,25.308222,18393300
2021-11-05,26.290001,26.590000,25.400000,25.809999,25.191099,12822300
2021-11-12,25.879999,26.469999,24.420000,24.540001,24.109129,12605900
2021-11-19,24.129999,24.690001,23.930000,24.410000,23.981411,13284700
2021-11-26,23.290001,23.580000,21.969999,22.750000,22.350557,23751800
2021-12-03,22.790001,23.830000,22.180000,23.209999,22.802481,17833600
2021-12-10,23.490000,23.719999,22.320000,22.709999,22.311258,20769600
2021-12-17,22.969999,23.450001,21.330000,23.340000,22.930199,23652400
2021-12-24,23.320000,23.799999,23.190001,23.209999,22.802481,8538900
2021-12-31,23.190001,24.830000,22.969999,24.139999,23.716150,18580100
2022-01-07,24.469999,25.330000,23.719999,24.770000,24.335091,20609900
2022-01-14,24.320000,24.910000,22.600000,22.639999,22.242489,15714700
2022-01-21,22.400000,22.480000,20.250000,21.580000,21.201099,31766800
2022-01-28,21.469999,22.860001,21.020000,22.250000,21.859337,29828100
2022-02-04,22.280001,24.309999,22.240000,23.400000,22.989143,28713900
2022-02-11,23.280001,23.760000,22.299999,22.389999,21.996878,23581300
2022-02-18,22.299999,22.660000,20.020000,21.020000,20.805929,20591600
2022-02-25,21.230000,21.920000,19.360001,20.059999,19.855705,29507200
2022-03-04,19.500000,20.480000,18.420000,20.059999,19.855705,37779800
2022-03-11,20.150000,21.570000,19.959999,21.299999,21.083076,25463900
2022-03-18,21.070000,21.969999,20.889999,21.830000,21.607679,27952300
2022-03-25,21.889999,23.830000,21.830000,23.059999,22.825153,26955300
2022-04-01,23.370001,23.639999,20.910000,21.340000,21.122669,24740700
2022-04-08,21.360001,21.870001,20.950001,21.000000,20.786133,16464700
2022-04-15,20.920000,22.100000,20.850000,21.299999,21.083076,11137800
2022-04-22,21.240000,21.240000,18.680000,19.299999,19.103445,24472700
2022-04-29,19.290001,19.510000,18.330000,18.379999,18.192814,3968300
