Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,4.350000,5.210000,4.114000,5.030000,5.030000,5801900
2021-01-08,5.080000,5.800000,4.560000,4.660000,4.660000,6837500
2021-01-15,4.640000,4.660000,4.160000,4.410000,4.410000,3619900
2021-01-22,4.410000,5.000000,3.930000,4.340000,4.340000,7306500
2021-01-29,4.510000,4.880000,4.080000,4.840000,4.840000,4888500
2021-02-05,4.860000,5.410000,4.860000,5.200000,5.200000,3177700
2021-02-12,5.040000,5.490000,4.960000,5.340000,5.340000,3344100
2021-02-19,5.400000,6.030000,4.875000,4.970000,4.970000,13052900
2021-02-26,5.000000,6.230000,4.440000,5.530000,5.530000,8758500
2021-03-05,5.660000,6.770000,4.980000,6.730000,6.730000,9974700
2021-03-12,6.660000,7.410000,6.480000,7.120000,7.120000,10423800
2021-03-19,7.130000,7.740000,5.520000,6.050000,6.050000,10007100
2021-03-26,6.070000,6.910000,5.660000,6.680000,6.680000,5907300
2021-04-02,6.880000,6.950000,5.990000,6.150000,6.150000,3186400
2021-04-09,6.120000,6.220000,5.540000,5.700000,5.700000,3734500
2021-04-16,5.690000,5.795000,4.870000,5.030000,5.030000,5762400
2021-04-23,5.040000,5.340000,5.000000,5.140000,5.140000,4328500
2021-04-30,5.020000,5.245000,4.510000,4.680000,4.680000,4578100
2021-05-07,4.640000,4.960000,4.414000,4.600000,4.600000,3987300
2021-05-14,4.630000,5.060000,4.400000,4.470000,4.470000,3244700
2021-05-21,4.570000,4.740000,4.380000,4.730000,4.730000,3383500
2021-05-28,4.830000,4.905000,4.330000,4.350000,4.350000,2670400
2021-06-04,4.370000,4.540000,4.080000,4.260000,4.260000,3966000
2021-06-11,4.310000,4.370000,3.970000,4.130000,4.130000,3076000
2021-06-18,4.050000,4.410000,3.890000,4.400000,4.400000,4858200
2021-06-25,4.420000,4.470000,3.895000,4.070000,4.070000,8139300
2021-07-02,4.100000,4.140000,3.475000,3.510000,3.510000,3630800
2021-07-09,3.580000,3.780000,3.530000,3.740000,3.740000,5100500
2021-07-16,3.810000,3.940000,3.385000,3.740000,3.740000,3920900
2021-07-23,3.720000,4.330000,3.555000,4.310000,4.310000,4884100
2021-07-30,4.240000,4.335000,3.915000,4.210000,4.210000,2706500
2021-08-06,4.210000,4.300000,3.810000,3.900000,3.900000,3782500
2021-08-13,3.910000,3.945000,3.410000,3.430000,3.430000,3095100
2021-08-20,3.400000,3.915000,3.380000,3.670000,3.670000,6924800
2021-08-27,3.700000,4.015000,3.650000,3.710000,3.710000,2703600
2021-09-03,3.670000,3.840000,3.590000,3.700000,3.700000,2175400
2021-09-10,3.750000,3.860000,3.580000,3.650000,3.650000,3209300
2021-09-17,3.670000,3.780000,3.025000,3.320000,3.320000,6028700
2021-09-24,3.270000,3.680000,2.930000,3.090000,3.090000,5599600
2021-10-01,3.140000,3.630000,3.140000,3.390000,3.390000,3199200
2021-10-08,3.420000,3.520000,3.271000,3.390000,3.390000,2023500
2021-10-15,3.480000,3.750000,3.285000,3.350000,3.350000,3196600
2021-10-22,3.350000,3.390000,3.080000,3.140000,3.140000,2362500
2021-10-29,3.120000,3.390000,3.000000,3.160000,3.160000,2871600
2021-11-05,3.400000,3.620000,2.950000,2.960000,2.960000,4850800
2021-11-12,2.970000,2.990000,2.680000,2.730000,2.730000,3635400
2021-11-19,2.780000,2.780000,2.340000,2.370000,2.370000,3971100
2021-11-26,2.170000,2.340000,2.080000,2.200000,2.200000,5149400
2021-12-03,2.200000,2.730000,2.010000,2.610000,2.610000,6106900
2021-12-10,2.640000,2.680000,2.100000,2.120000,2.120000,3853500
2021-12-17,2.110000,2.490000,2.040000,2.460000,2.460000,2892600
2021-12-24,2.450000,2.450000,2.150000,2.200000,2.200000,2086300
2021-12-31,2.190000,2.475000,2.120000,2.310000,2.310000,3339300
2022-01-07,2.310000,2.470000,2.180000,2.360000,2.360000,1670700
2022-01-14,2.320000,2.370000,2.160000,2.180000,2.180000,1215900
2022-01-21,2.130000,2.190000,1.850000,1.980000,1.980000,3074600
2022-01-28,1.970000,2.315000,1.940000,2.060000,2.060000,2862800
2022-02-04,2.060000,2.472000,2.020000,2.370000,2.370000,1918700
2022-02-11,2.390000,2.460000,2.190000,2.270000,2.270000,1734500
2022-02-18,2.240000,2.250000,2.000000,2.230000,2.230000,1919500
2022-02-25,2.250000,2.320000,1.890000,1.900000,1.900000,2934000
2022-03-04,1.870000,2.060000,1.640000,1.890000,1.890000,3616400
2022-03-11,1.910000,2.000000,1.760000,1.950000,1.950000,2080700
2022-03-18,1.950000,2.030000,1.830000,2.000000,2.000000,4131500
2022-03-25,2.000000,2.210000,1.890000,2.050000,2.050000,2349000
2022-04-01,2.050000,2.110000,1.645000,1.770000,1.770000,2878000
2022-04-08,1.750000,1.778000,1.580000,1.720000,1.720000,3305900
2022-04-15,1.730000,1.800000,1.550000,1.560000,1.560000,3112700
2022-04-22,1.550000,1.550000,1.380000,1.520000,1.520000,3030900
2022-04-29,1.510000,1.550000,1.490000,1.500000,1.500000,699800
