Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,67.739998,82.440002,66.360001,80.050003,75.942688,7298600
2021-01-08,79.820000,83.550003,76.290001,81.580002,77.394173,6092500
2021-01-15,81.629997,86.410004,80.570000,84.480003,80.145378,3635900
2021-01-22,83.669998,88.294998,76.339996,79.540001,75.458847,5405200
2021-01-29,79.970001,85.239998,79.540001,84.860001,80.505875,5532500
2021-02-05,84.809998,85.330002,81.489998,82.930000,79.247475,2181900
2021-02-12,82.120003,82.309998,76.900002,77.730003,74.278389,1806000
2021-02-19,78.349998,79.230003,71.110001,72.480003,69.261513,3268000
2021-02-26,72.669998,76.269997,68.230003,69.459999,66.375618,2860900
2021-03-05,69.870003,75.949997,63.500000,75.349998,72.004066,3145400
2021-03-12,74.690002,75.637001,66.180000,66.360001,63.413265,2569400
2021-03-19,66.610001,71.419998,65.519997,71.199997,68.038353,3122600
2021-03-26,71.519997,74.529999,69.887001,72.669998,69.443077,2084600
2021-04-02,73.449997,74.300003,71.059998,74.000000,70.714020,1525600
2021-04-09,73.800003,75.239998,71.930000,73.750000,70.475113,2487900
2021-04-16,74.029999,75.000000,70.889999,72.599998,69.376183,3716500
2021-04-23,72.849998,75.349998,72.099998,75.209999,71.870285,2307200
2021-04-30,74.750000,75.519997,67.250000,69.209999,66.136711,3656300
2021-05-07,70.000000,70.120003,64.519997,65.000000,62.665585,3780000
2021-05-14,65.339996,68.669998,63.590000,66.750000,64.352730,2738500
2021-05-21,67.110001,69.260002,66.870003,68.629997,66.165207,2070500
2021-05-28,68.830002,69.110001,67.820000,68.430000,65.972389,1687600
2021-06-04,68.720001,74.230003,68.110001,74.099998,71.438759,1808600
2021-06-11,74.570000,75.500000,71.150002,75.260002,72.557098,3613700
2021-06-18,75.000000,75.599998,72.360001,72.690002,70.079399,2991500
2021-06-25,72.779999,77.279999,72.440002,76.320000,73.579033,2636200
2021-07-02,76.610001,78.235001,75.180000,75.739998,73.019859,1622000
2021-07-09,75.750000,76.190002,74.180000,75.290001,72.586021,1943600
2021-07-16,75.300003,76.190002,71.690002,74.739998,72.055771,2831800
2021-07-23,71.900002,78.660004,71.330002,77.389999,74.610596,3944200
2021-07-30,77.059998,80.940002,76.959999,80.809998,77.907776,2122900
2021-08-06,80.860001,80.898003,77.959999,79.260002,77.053864,2016800
2021-08-13,79.360001,80.400002,76.779999,78.330002,76.149757,1625100
2021-08-20,78.169998,80.800003,78.000000,79.070000,76.869156,1587500
2021-08-27,79.139999,83.849998,78.360001,83.000000,80.689766,2613700
2021-09-03,82.730003,82.940002,79.080002,79.330002,77.121925,1369400
2021-09-10,79.330002,80.800003,78.260002,79.510002,77.296906,2036800
2021-09-17,79.480003,79.910004,77.309998,78.510002,76.324738,2116400
2021-09-24,78.199997,78.860001,73.855003,75.360001,73.262421,2287700
2021-10-01,75.699997,77.989998,75.349998,77.239998,75.090088,1332000
2021-10-08,77.519997,79.370003,75.760002,78.660004,76.470573,1458200
2021-10-15,78.889999,82.650002,77.510002,82.199997,79.912033,1711900
2021-10-22,82.519997,86.730003,81.360001,86.410004,84.004860,2109300
2021-10-29,86.570000,87.779999,85.830002,87.000000,84.578438,1777800
2021-11-05,87.309998,87.489998,84.139999,85.000000,83.286034,2040600
2021-11-12,85.010002,88.000000,84.309998,87.260002,85.500473,1152000
2021-11-19,87.269997,88.796997,86.080002,87.690002,85.921799,1531300
2021-11-26,87.080002,87.589996,83.540001,85.110001,83.393814,2161200
2021-12-03,85.300003,86.300003,83.760002,85.860001,84.128693,1709400
2021-12-10,85.779999,87.720001,83.900002,86.839996,85.088928,1517200
2021-12-17,86.550003,86.769997,82.080002,82.879997,81.208778,2050200
2021-12-24,83.320000,84.180000,82.199997,83.370003,81.688904,861900
2021-12-31,83.250000,84.870003,77.550003,77.930000,76.358597,2756000
2022-01-07,77.690002,79.110001,76.379997,77.129997,75.574722,2938100
2022-01-14,76.519997,77.000000,72.625000,73.769997,72.282478,2775500
2022-01-21,73.620003,74.350998,69.800003,71.650002,70.205231,4637000
2022-01-28,71.650002,76.220001,70.510002,72.919998,71.449623,3163600
2022-02-04,72.800003,75.680000,71.910004,72.459999,71.666794,2255400
2022-02-11,72.709999,73.489998,70.809998,72.760002,71.963509,1556300
2022-02-18,72.559998,74.120003,69.800003,73.980003,73.170158,1553700
2022-02-25,74.150002,80.345001,73.510002,79.980003,79.104477,2207700
2022-03-04,79.919998,80.889999,78.790001,79.839996,78.966003,1929300
2022-03-11,79.800003,81.750000,78.184998,81.050003,80.162766,1793500
2022-03-18,80.610001,83.080002,79.669998,81.000000,80.113312,2585800
2022-03-25,81.129997,84.570000,80.589996,83.360001,82.447472,2147700
2022-04-01,83.400002,84.760002,79.750000,82.889999,81.982620,2021800
2022-04-08,83.190002,83.739998,76.510002,76.610001,75.771362,1822400
2022-04-15,76.709999,76.885002,72.489998,72.540001,71.745918,3072400
2022-04-22,72.629997,72.629997,66.830002,67.830002,67.087479,3806800
2022-04-29,67.470001,68.419998,66.489998,66.660004,65.930290,479200
