Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,5.300000,5.730000,5.220000,5.720000,5.720000,737700
2021-01-08,5.820000,5.850000,5.620000,5.800000,5.800000,1308200
2021-01-15,5.730000,5.750000,5.500000,5.550000,5.550000,1496300
2021-01-22,5.500000,5.510000,5.280000,5.340000,5.340000,1198200
2021-01-29,5.380000,5.750000,5.250000,5.640000,5.640000,1216000
2021-02-05,5.670000,6.170000,5.640000,6.130000,6.130000,4096100
2021-02-12,6.170000,6.310000,5.930000,6.000000,6.000000,2116100
2021-02-19,5.960000,6.130000,5.890000,5.930000,5.930000,1352400
2021-02-26,5.970000,6.080000,5.850000,6.010000,6.010000,1158800
2021-03-05,6.040000,6.360000,5.940000,6.220000,6.220000,1275200
2021-03-12,6.210000,6.430000,6.100000,6.380000,6.380000,1691100
2021-03-19,6.430000,6.630000,6.390000,6.610000,6.610000,1567000
2021-03-26,6.650000,6.720000,5.320000,5.360000,5.360000,10051800
2021-04-02,5.490000,5.490000,5.300000,5.300000,5.300000,3498600
2021-04-09,5.390000,5.420000,5.280000,5.380000,5.380000,2317600
2021-04-16,5.380000,5.410000,5.200000,5.290000,5.290000,6048000
2021-04-23,5.300000,5.570000,5.300000,5.540000,5.540000,2254000
2021-04-30,5.480000,5.520000,5.370000,5.440000,5.440000,2229400
2021-05-07,5.320000,5.390000,5.140000,5.320000,5.320000,2360700
2021-05-14,5.310000,5.550000,5.300000,5.530000,5.530000,1840100
2021-05-21,5.520000,5.650000,5.480000,5.600000,5.600000,1604900
2021-05-28,5.560000,5.590000,5.490000,5.570000,5.570000,2171600
2021-06-04,5.600000,5.600000,5.400000,5.420000,5.420000,1200700
2021-06-11,5.400000,5.480000,5.270000,5.270000,5.270000,1753300
2021-06-18,5.200000,5.250000,5.110000,5.180000,5.180000,2273600
2021-06-25,5.220000,5.280000,5.070000,5.130000,5.130000,2130500
2021-07-02,5.100000,5.130000,4.850000,4.880000,4.880000,2152600
2021-07-09,4.930000,5.080000,4.920000,4.930000,4.930000,2228500
2021-07-16,4.970000,5.070000,4.890000,5.000000,5.000000,2436600
2021-07-23,5.020000,5.110000,4.960000,5.060000,5.060000,1519200
2021-07-30,5.060000,5.100000,4.820000,4.870000,4.870000,1563700
2021-08-06,4.930000,5.030000,4.840000,5.010000,5.010000,3498800
2021-08-13,5.020000,5.020000,4.660000,4.690000,4.690000,2390900
2021-08-20,4.690000,4.840000,4.650000,4.780000,4.780000,1572900
2021-08-27,4.780000,4.900000,4.770000,4.830000,4.830000,1676200
2021-09-03,5.050000,5.210000,5.010000,5.180000,5.180000,1305200
2021-09-10,5.210000,5.260000,5.150000,5.180000,5.180000,1340400
2021-09-17,5.150000,5.180000,4.910000,5.130000,5.130000,1325000
2021-09-24,5.120000,5.280000,4.920000,4.940000,4.940000,1589500
2021-10-01,4.950000,4.990000,4.810000,4.950000,4.950000,1890800
2021-10-08,4.960000,4.960000,4.750000,4.820000,4.820000,1331800
2021-10-15,4.860000,4.950000,4.820000,4.890000,4.890000,1668400
2021-10-22,4.890000,4.900000,4.770000,4.890000,4.890000,1595000
2021-10-29,4.690000,4.690000,4.380000,4.490000,4.490000,4181000
2021-11-05,4.490000,4.530000,4.360000,4.390000,4.390000,6469500
2021-11-12,4.380000,4.440000,4.230000,4.300000,4.300000,7805400
2021-11-19,4.240000,4.340000,4.210000,4.260000,4.260000,4709100
2021-11-26,4.230000,4.270000,4.100000,4.270000,4.270000,7768700
2021-12-03,4.300000,4.460000,4.220000,4.430000,4.430000,4787300
2021-12-10,4.460000,4.550000,4.370000,4.550000,4.550000,4878800
2021-12-17,4.520000,4.560000,4.260000,4.430000,4.430000,4653500
2021-12-24,4.380000,4.410000,4.330000,4.330000,4.330000,2371900
2021-12-31,4.330000,4.570000,4.320000,4.530000,4.530000,4556800
2022-01-07,4.520000,4.750000,4.500000,4.700000,4.700000,4347100
2022-01-14,4.720000,4.730000,4.410000,4.420000,4.420000,2887900
2022-01-21,4.460000,4.540000,4.380000,4.410000,4.410000,6287400
2022-01-28,4.400000,4.760000,4.340000,4.670000,4.670000,6068100
2022-02-04,4.680000,4.870000,4.680000,4.780000,4.780000,5918100
2022-02-11,4.780000,4.800000,4.670000,4.710000,4.710000,5641600
2022-02-18,4.710000,4.720000,4.480000,4.560000,4.560000,4979100
2022-02-25,4.580000,4.640000,4.390000,4.450000,4.450000,4745600
2022-03-04,4.370000,4.400000,4.090000,4.200000,4.200000,7855700
2022-03-11,4.230000,4.460000,4.150000,4.450000,4.450000,5287800
2022-03-18,4.400000,4.530000,4.390000,4.500000,4.500000,5642100
2022-03-25,4.500000,4.540000,4.220000,4.220000,4.220000,2572600
2022-04-01,4.250000,4.300000,4.050000,4.090000,4.090000,6514900
2022-04-08,4.070000,4.140000,3.880000,3.910000,3.910000,9589000
2022-04-15,3.940000,4.040000,3.910000,3.940000,3.940000,5661400
2022-04-22,3.960000,3.980000,3.680000,3.830000,3.830000,8853300
2022-04-29,3.840000,3.880000,3.780000,3.780000,3.780000,1093500
