Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,9.020000,10.440000,8.640000,10.190000,10.190000,5249800
2021-01-08,11.090000,11.610000,10.430000,11.540000,11.540000,5780200
2021-01-15,11.240000,11.520000,10.630000,10.800000,10.800000,4996500
2021-01-22,10.640000,10.700000,9.670000,9.980000,9.980000,5047300
2021-01-29,11.010000,13.280000,10.120000,13.240000,13.240000,7103600
2021-02-05,13.020000,13.790000,12.900000,13.220000,13.220000,4384900
2021-02-12,13.580000,14.370000,13.210000,13.390000,13.390000,2929500
2021-02-19,13.640000,14.280000,12.910000,13.080000,13.080000,4206700
2021-02-26,12.730000,13.780000,12.330000,13.460000,13.460000,4583800
2021-03-05,14.410000,15.350000,13.740000,15.140000,15.140000,4713500
2021-03-12,15.260000,15.670000,14.420000,14.550000,14.550000,2906800
2021-03-19,14.420000,14.760000,13.480000,14.150000,14.150000,2769400
2021-03-26,14.600000,15.230000,14.200000,15.070000,15.070000,2517000
2021-04-02,15.010000,15.140000,14.780000,15.020000,15.020000,1658600
2021-04-09,14.610000,16.570000,14.310000,16.500000,16.500000,2999300
2021-04-16,16.260000,17.100000,15.580000,16.299999,16.299999,4666700
2021-04-23,16.520000,17.980000,16.469999,17.650000,17.650000,2783400
2021-04-30,17.330000,17.330000,16.219999,17.100000,17.100000,2557000
2021-05-07,17.040001,17.410000,16.209999,16.490000,16.490000,2955500
2021-05-14,16.690001,17.010000,15.760000,15.840000,15.840000,2159700
2021-05-21,16.030001,16.440001,15.640000,16.430000,16.430000,1803400
2021-05-28,16.360001,17.950001,16.240000,17.020000,17.020000,1842500
2021-06-04,17.240000,17.620001,16.780001,17.330000,17.330000,1765600
2021-06-11,17.139999,17.570000,15.660000,15.960000,15.960000,1841500
2021-06-18,14.990000,15.900000,14.540000,15.870000,15.870000,3140300
2021-06-25,16.180000,16.260000,15.190000,15.570000,15.570000,1671100
2021-07-02,15.640000,15.660000,14.510000,14.740000,14.740000,1517400
2021-07-09,15.400000,16.000000,14.290000,14.370000,14.370000,3205600
2021-07-16,14.700000,15.050000,13.870000,14.740000,14.740000,3087000
2021-07-23,14.830000,15.350000,14.280000,15.220000,15.220000,1785400
2021-07-30,15.080000,15.550000,14.860000,14.910000,14.910000,1858200
2021-08-06,15.190000,15.250000,14.300000,14.790000,14.790000,1583600
2021-08-13,14.600000,14.810000,12.780000,12.830000,12.830000,2716300
2021-08-20,12.820000,15.090000,12.750000,14.630000,14.630000,3003000
2021-08-27,14.920000,15.500000,14.920000,15.100000,15.100000,2119900
2021-09-03,15.570000,15.680000,14.860000,15.260000,15.260000,1521900
2021-09-10,15.670000,17.250000,15.520000,16.250000,16.250000,3116100
2021-09-17,15.810000,16.969999,14.670000,16.950001,16.950001,3231900
2021-09-24,16.760000,19.240000,16.490000,18.840000,18.840000,4212700
2021-10-01,18.709999,19.820000,18.370001,18.920000,18.920000,3152400
2021-10-08,19.280001,19.520000,17.940001,18.379999,18.379999,2046100
2021-10-15,19.209999,19.219999,17.219999,17.309999,17.309999,2445300
2021-10-22,17.840000,17.950001,16.799999,16.959999,16.959999,1772700
2021-10-29,16.760000,17.600000,16.610001,17.139999,17.139999,1833400
2021-11-05,17.180000,18.320000,16.660000,17.180000,17.180000,1715000
2021-11-12,16.730000,17.280001,15.970000,16.200001,16.200001,1309800
2021-11-19,15.800000,16.889999,15.640000,16.700001,16.700001,1238000
2021-11-26,15.230000,17.790001,15.070000,17.610001,17.610001,3291700
2021-12-03,17.799999,18.770000,17.370001,17.889999,17.889999,1803700
2021-12-10,17.830000,17.860001,15.310000,15.590000,15.590000,2187300
2021-12-17,16.059999,16.250000,15.010000,16.209999,16.209999,1591200
2021-12-24,16.200001,16.879999,15.950000,16.120001,16.120001,1111600
2021-12-31,16.049999,16.820000,16.010000,16.530001,16.530001,1746500
2022-01-07,16.750000,18.780001,16.610001,18.510000,18.510000,1980500
2022-01-14,18.500000,20.840000,18.480000,20.389999,20.389999,2428900
2022-01-21,20.490000,22.070000,18.790001,21.500000,21.500000,3862900
2022-01-28,21.980000,23.709999,21.090000,22.290001,22.290001,2673900
2022-02-04,22.559999,22.840000,21.410000,21.790001,21.790001,1594800
2022-02-11,21.570000,22.650000,21.290001,22.139999,22.139999,2079800
2022-02-18,21.730000,22.709999,21.420000,21.740000,21.740000,1668100
2022-02-25,22.090000,25.719999,21.930000,24.660000,24.660000,2359100
2022-03-04,23.670000,24.299999,22.570000,23.440001,23.440001,2504100
2022-03-11,23.670000,23.790001,21.240000,23.469999,23.469999,1995300
2022-03-18,23.730000,25.900000,23.510000,25.500000,25.500000,1263800
2022-03-25,25.180000,25.490000,23.709999,24.180000,24.180000,1457800
2022-04-01,24.450001,25.129999,24.209999,24.620001,24.620001,859400
2022-04-08,24.920000,25.790001,24.620001,25.120001,25.120001,1238900
2022-04-15,25.270000,25.430000,24.200001,24.219999,24.219999,791400
2022-04-22,24.219999,24.549999,22.340000,24.490000,24.490000,2070800
2022-04-29,24.850000,24.910000,24.200001,24.260000,24.260000,237200
