Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,18.629999,20.270000,18.600000,19.850000,19.720188,22911100
2021-01-08,19.910000,19.940001,18.700001,19.709999,19.581102,13065300
2021-01-15,19.490000,21.340000,19.090000,20.580000,20.445412,16954100
2021-01-22,20.000000,20.559999,18.170000,19.200001,19.074438,20752500
2021-01-29,19.170000,19.200001,17.600000,18.180000,18.061110,19885300
2021-02-05,18.219999,19.959999,18.150000,19.770000,19.640711,21350400
2021-02-12,19.639999,21.469999,19.350000,21.420000,21.279919,18917900
2021-02-19,22.010000,23.930000,21.670000,21.950001,21.806456,34986300
2021-02-26,21.600000,22.209999,20.160000,20.629999,20.495087,31755900
2021-03-05,21.129999,22.820000,20.219999,22.820000,22.670763,26402300
2021-03-12,22.360001,22.690001,21.200001,21.620001,21.478613,32413200
2021-03-19,21.469999,21.549999,17.309999,18.030001,17.943542,31487600
2021-03-26,18.520000,19.639999,18.420000,19.549999,19.456251,26605300
2021-04-02,19.959999,20.480000,19.639999,19.790001,19.695105,18229900
2021-04-09,19.799999,22.340000,19.400000,22.299999,22.193066,19894900
2021-04-16,22.490000,22.820000,20.980000,21.510000,21.406853,15543700
2021-04-23,21.900000,22.790001,21.520000,21.930000,21.824841,24035200
2021-04-30,21.570000,24.709999,21.000000,24.650000,24.531797,35228300
2021-05-07,24.799999,26.719999,24.030001,24.490000,24.372564,36306200
2021-05-14,24.670000,26.610001,22.620001,22.850000,22.740431,45975400
2021-05-21,23.000000,24.870001,22.209999,24.680000,24.561653,33275100
2021-05-28,24.670000,25.790001,23.760000,23.870001,23.755537,17612000
2021-06-04,24.389999,24.860001,23.250000,23.450001,23.337553,19653600
2021-06-11,23.950001,24.190001,20.270000,20.650000,20.550978,30380200
2021-06-18,20.360001,23.010000,20.230000,22.690001,22.620396,28092100
2021-06-25,22.920000,23.420000,22.320000,22.790001,22.720089,16458400
2021-07-02,23.070000,23.520000,21.440001,22.320000,22.251530,13463500
2021-07-09,22.840000,23.709999,22.250000,22.420000,22.351223,15221400
2021-07-16,22.330000,22.480000,19.670000,21.120001,21.055212,27652200
2021-07-23,21.459999,23.510000,20.730000,23.230000,23.158737,21874400
2021-07-30,22.910000,23.270000,21.389999,21.549999,21.483892,15268900
2021-08-06,21.959999,23.570000,21.420000,22.809999,22.740026,15610400
2021-08-13,22.940001,23.110001,19.620001,19.820000,19.759199,29097800
2021-08-20,19.650000,22.180000,19.320000,21.760000,21.693247,20817000
2021-08-27,22.000000,24.100000,22.000000,23.879999,23.806746,18371700
2021-09-03,23.950001,25.170000,23.709999,24.450001,24.374996,20298000
2021-09-10,25.150000,27.080000,23.910000,25.820000,25.740793,38079200
2021-09-17,25.280001,25.570000,22.750000,24.770000,24.734169,35908200
2021-09-24,24.330000,25.750000,23.879999,24.910000,24.873964,23043800
2021-10-01,25.080000,26.120001,24.110001,26.040001,26.002331,21096700
2021-10-08,26.360001,29.000000,26.270000,28.370001,28.328960,17171200
2021-10-15,29.040001,29.920000,27.450001,27.870001,27.829683,25782300
2021-10-22,28.000000,28.950001,27.209999,28.850000,28.808266,23622000
2021-10-29,28.430000,28.799999,27.090000,27.559999,27.520130,20486900
2021-11-05,27.750000,29.190001,26.490000,28.559999,28.518684,23539300
2021-11-12,28.250000,28.870001,26.100000,26.250000,26.212027,34543300
2021-11-19,26.000000,27.459999,25.780001,26.959999,26.921000,16260100
2021-11-26,25.420000,27.530001,25.080000,26.549999,26.511591,19756900
2021-12-03,26.500000,28.290001,25.240000,27.660000,27.619987,19496200
2021-12-10,27.930000,28.070000,25.850000,27.120001,27.080769,15171300
2021-12-17,27.010000,28.469999,25.870001,28.290001,28.290001,13958900
2021-12-24,28.299999,29.049999,28.100000,28.430000,28.430000,6892400
2021-12-31,28.400000,30.450001,28.250000,29.100000,29.100000,13991100
2022-01-07,29.709999,34.779999,29.370001,33.639999,33.639999,28985100
2022-01-14,33.240002,35.369999,32.820000,33.320000,33.320000,20026500
2022-01-21,33.049999,33.619999,30.540001,31.889999,31.889999,24968900
2022-01-28,30.980000,33.049999,29.629999,32.660000,32.660000,24861800
2022-02-04,32.669998,37.230000,32.500000,36.099998,36.099998,24461000
2022-02-11,35.500000,37.090000,34.889999,35.980000,35.980000,20439400
2022-02-18,36.160000,36.520000,33.549999,34.840000,34.840000,23140100
2022-02-25,35.230000,40.160000,34.980000,40.139999,40.139999,51099500
2022-03-04,39.990002,42.320000,37.820000,42.279999,42.279999,38215400
2022-03-11,41.790001,42.380001,36.590000,39.070000,39.070000,35078800
2022-03-18,38.919998,41.509998,38.799999,40.639999,40.639999,21009800
2022-03-25,40.459999,41.270000,37.689999,40.389999,40.389999,22302000
2022-04-01,40.779999,43.180000,38.110001,39.529999,39.529999,28410600
2022-04-08,39.900002,44.009998,38.889999,43.160000,43.160000,25378700
2022-04-15,43.480000,44.930000,39.509998,40.049999,40.049999,21869000
2022-04-22,39.389999,40.020000,34.139999,38.889999,38.889999,41610900
2022-04-29,39.470001,40.660000,39.080002,39.459999,39.459999,7245800
