Date,AA,AAWW,ABG,ACH,ACLS,ACM,ADC,ADM,ADUS,AEE,AEG,AEIS,AEP,AER,AGYS,BAC,CCM,CENT,ERII,ETN,HTH,IDA,IEP,IMOS,INDB,INFI,MT,NBR,NBTB,NC,REG,RELL,SRT,STC,TNK,Total
2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
