Date,AA,AAWW,ABG,ACH,ACLS,ACM,ADC,ADM,ADUS,AEE,AEG,AEIS,AEP,AER,AGYS,BAC,CCM,CENT,ERII,ETN,HTH,IDA,IEP,IMOS,INDB,INFI,MT,NBR,NBTB,NC,REG,RELL,SRT,STC,TNK,Total
1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000
1/8/2021,2719.529208,2956.16781,2859.329379,2829.39227,3101.500658,2786.114171,2875.485836,2812.310153,2730.957161,2886.552877,2910.125895,2864.181578,2939.143635,2957.724377,2715.023192,2838.577019,2767.402111,2879.65933,2783.984211,3052.186263,2818.56207,2909.441428,3181.002584,3091.974147,2931.263077,3044.100503,2845.842254,2837.479846,2895.809034,3067.442689,2910.499529,3126.830177,2842.925373,2829.004069,3085.325255,101682.8492
1/15/2021,2451.188718,2792.58837,2758.617931,2542.066818,3233.079474,2690.465692,2843.68583,2784.864857,2875.16612,2785.711101,2474.014279,2749.755048,2931.83701,2661.40824,2854.179233,2610.746868,2970.036231,2758.617931,2617.351579,2951.788566,2770.340507,2854.480334,3209.102021,2974.556223,3012.125199,2924.254027,2519.396717,2756.659407,2964.551475,2955.38656,2893.522485,3169.824084,2768.298582,2805.98278,2995.335374,98910.98567
1/22/2021,2222.410991,2675.955443,2460.862345,2261.902597,2875.936974,2593.870188,2392.364197,2740.035893,2649.839621,2702.729782,2453.635483,2383.59068,2846.585575,2525.483406,2572.906383,2593.870802,2851.350689,2713.579271,2540.131579,2765.587516,2746.229726,2792.426113,3232.284,2857.14,3145.548609,2924.254027,2300.577548,2549.14551,2981.737831,2848.642932,2727.78454,3122.921079,2626.152313,2665.299629,2812.144805,94154.91808
1/29/2021,2220.691066,2800.657314,2500.271172,2150.910959,3045.109737,2454.65951,2403.37207,2750.09916,2532.669842,2623.947664,2408.801363,2351.903401,2740.224105,2237.322759,2664.690155,2489.239588,2645.821639,2671.355527,2458.847368,2738.608718,2796.862654,2698.459229,3209.102021,2739.723777,3079.511432,2905.078591,2281.549609,2429.005698,2864.302242,2485.923772,2639.661542,3033.024727,2608.38403,2767.61407,2940.699764,92368.10628
2/5/2021,2341.077621,2822.663527,2406.127862,2201.9313,3063.906711,2586.294083,2509.781587,2747.355286,2523.656782,2587.182743,2441.408463,2436.402871,2685.826368,2125.864396,2827.532332,2468.988506,2434.503277,2800.841675,2414.141053,2890.065838,2852.317268,2826.742625,3235.09421,2504.88963,3187.328819,3072.863658,2229.818007,2546.96117,2934.476577,2606.475014,2640.469765,2931.402765,2604.830373,2736.919865,3021.046976,93247.189
2/12/2021,2346.24927,2905.553668,2561.573793,2158.071742,3157.891579,2615.651763,2678.567503,2741.865521,2538.678549,2693.274779,2506.621379,2728.630313,2755.130691,2286.255699,2931.159171,2679.940023,2489.504202,2831.805754,2580.773684,3013.530759,2912.594613,2915.357878,3369.97651,2739.723777,3382.744987,3111.21453,2350.525087,2555.697597,3040.455093,2653.20938,2763.357516,3068.375036,2665.242537,3256.167208,3053.18557,97038.55716
2/19/2021,2294.531693,3237.84733,2563.763172,2145.54026,3157.891579,2583.453294,2666.337641,2709.775699,2406.487003,2633.401827,2474.014279,2614.203959,2768.281086,2403.151056,3333.823461,2793.009764,2483.714342,2958.476985,2584.837895,2984.112642,2893.306041,3033.510652,3375.598366,2622.305853,3404.309529,2943.429463,2283.333505,2402.793613,3093.44499,2562.397388,2821.138021,3056.620232,2416.486567,3621.94289,3184.955551,97512.22763
2/26/2021,2315.218677,3601.683304,2741.102897,2230.574341,3214.2825,2665.843422,2646.767497,2758.50929,2403.48265,2688.023679,2600.364865,2550.829047,2787.184903,2628.78628,3206.510487,2767.696356,2622.663296,3068.258719,2706.764211,3188.699058,2907.772143,3026.350752,3327.827048,2778.862518,3512.125447,2895.490872,2434.647762,2457.402279,3234.612373,3503.823309,2907.248116,3166.343903,2633.259627,3588.690411,3223.522591,100991.2246
3/5/2021,2351.420997,3520.994005,2925.010759,2316.503285,3157.891579,2679.101772,2727.490661,2707.017444,2391.465237,2705.88061,2734.865943,2658.214,2812.665039,2998.501827,3401.921098,2890.960865,2547.399508,3073.888552,2430.397895,3233.272342,2972.871697,3127.496632,3277.245518,2857.14,3518.864309,3048.894362,2509.92725,2458.494683,3332.893843,4100.050081,3025.341333,3091.888013,2746.976642,3465.912319,3677.758354,103476.6185
3/12/2021,2465.199605,3693.375856,3034.479724,2316.503285,3157.891579,2705.617902,2835.124486,2688.627436,2673.874448,2772.234537,2694.108352,2656.453605,2857.050443,3020.2498,3555.880974,2884.205896,2518.451855,3175.225537,2418.205263,3347.377565,2818.56207,3128.392501,3299.740739,2896.278741,3466.302287,2972.192617,2589.987047,2253.164814,3400.822897,4322.224033,3197.563452,3052.700467,2636.813284,3463.354045,3789.804695,104758.0418
3/19/2021,2432.445284,3812.209624,3045.426621,2247.581032,3063.906711,2788.955341,2986.786091,2598.516106,1892.742587,2696.532728,2694.108352,2621.24536,2786.363193,3050.153264,3348.627295,2995.657454,2023.445725,3020.405143,2584.837895,3318.850537,2789.62908,3078.26679,3210.043134,2818.001259,3416.437828,2972.192617,2581.025402,2048.927351,3358.90947,4344.762329,3202.484051,3134.993641,2722.101045,3532.417914,3974.352331,103193.3406
