Date,Sum,AA,AAME,AAWW,ABG,ACH,ACLS,ACM,ADC,ADM,ADUS,AE,AEE,AEG,AEIS,AEP,AER,AGYS,ARI,AVNW,BAC,CCM,CCRN,CENT,ERII,ETN,HTH,IDA,IEP,IMOS,INDB,INFI,MT,NBR,NBTB,NC,REG,RELL,SRT,STC,TNK
1/1/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2010,101390.03,2379.590436,2651.515591,2586.64942,2501.915709,2475.720712,2713.815789,2437.852337,2516.052623,2460.773844,2389.589905,2321.268784,2525.736293,2546.362705,2506.161387,2571.753253,2588.011418,2375.647668,2488.906763,2503.355537,2483.757375,2421.479268,2452.40481,2519.704433,2435.98862,2670.665651,2466.244277,2545.763796,2783.380045,2705.480085,2564.857757,2663.590604,2490.114462,2482.797348,2533.835439,2684.015036,2546.689635,2735.979141,2487.562189,2475.381036,2699.662298
1/15/2010,98971.43,2144.792273,2765.15073,2443.517267,2413.793103,2224.31069,2828.947368,2354.159835,2488.227589,2436.759187,2515.772871,2411.196546,2437.499651,2164.764659,2406.038073,2565.359949,2328.734539,2497.409326,2466.721773,2486.57707,2284.405794,2598.784301,2294.589178,2413.793103,2290.184922,2582.817578,2424.050368,2497.67279,2807.967076,2602.739298,2635.612184,2558.724832,2204.474332,2412.079393,2593.985135,2585.965826,2531.834707,2773.598847,2422.263682,2455.237388,2620.921073
1/22/2010,94564.68,1944.611561,2651.515591,2341.463355,2153.256705,1979.166752,2516.447368,2269.638684,2093.320766,2397.533804,2318.611987,2360.61231,2364.890924,2146.933195,2085.643931,2490.764869,2209.80019,2251.295337,2429.28482,2463.087249,2269.639222,2494.934348,2274.549098,2374.384236,2222.617354,2419.891496,2402.953413,2443.375292,2828.251328,2500,2752.357785,2558.724832,2013.007367,2230.504551,2609.023211,2492.565058,2386.813859,2732.558676,2297.885572,2332.139508,2460.629165
1/29/2010,92478.96,1943.106626,2556.818606,2450.577601,2187.739464,1882.048971,2664.473684,2147.829219,2102.952665,2406.339171,2216.088328,2349.369965,2295.956502,2107.7033,2057.917534,2397.698489,1957.659372,2331.606218,2472.268887,2093.959629,2178.086818,2315.096249,2184.368737,2337.438424,2151.493599,2396.285024,2447.25727,2361.154187,2807.967076,2397.260702,2694.575198,2541.946309,1996.357904,2125.382111,2506.266968,2175.185476,2309.706159,2653.89929,2282.338308,2421.664733,2573.114866
2/5/2010,93465.30,2048.444967,2708.332125,2469.833056,2105.363985,1926.691814,2680.921053,2263.009586,2196.061084,2403.938279,2208.201893,2361.736322,2263.787164,2136.234541,2131.854644,2350.100422,1860.133206,2474.093264,2447.309598,2036.912594,2160.367103,2130.192498,2319.639279,2450.738916,2112.375533,2528.810137,2495.780105,2473.40227,2830.710264,2191.780618,2788.915505,2688.758389,1951.092707,2228.593252,2567.669573,2280.667918,2310.413355,2564.979984,2279.228856,2394.807277,2643.418747
2/12/2010,97159.88,2052.970164,2651.515591,2542.362001,2241.37931,1888.314662,2763.157895,2288.697581,2343.748909,2399.13473,2221.345952,2488.759884,2356.617789,2193.2959,2387.553911,2410.741765,2000.475737,2564.766839,2495.839294,2117.449673,2344.949865,2178.318355,2497.49499,2477.832512,2258.179232,2636.842051,2548.522835,2550.940694,2948.732395,2397.260702,2959.904823,2722.315436,2056.711508,2236.237633,2660.400867,2321.560529,2417.940245,2684.830841,2332.089552,2849.149156,2671.540046
2/19/2010,97360.47,2007.717239,2556.818606,2833.119247,2243.295019,1877.349605,2763.157895,2260.523892,2333.047769,2371.056108,2105.678233,2410.07313,2304.228903,2164.764659,2287.430752,2422.248373,2102.759277,2917.098446,2463.948464,2063.758455,2443.885987,2173.252223,2542.58517,2588.669951,2261.73542,2611.101173,2531.645317,2654.324475,2953.651524,2294.519915,2978.773816,2575.503356,1997.918815,2102.446514,2706.767073,2242.099957,2468.498237,2674.545377,2114.427861,3169.203198,2786.838894
2/26/2010,100458.70,2025.818368,2556.818606,3151.476042,2398.467433,1951.7545,2812.5,2332.615327,2315.923876,2413.698042,2103.049422,2452.787798,2352.023071,2275.321532,2231.977649,2438.789229,2300.190295,2805.699482,2468.10818,2181.208005,2421.736734,2294.832679,2432.364729,2684.729064,2368.421053,2790.114466,2544.30317,2648.059556,2911.851578,2431.507135,3073.112839,2533.557047,2130.318922,2150.229144,2830.288657,3065.848461,2543.844645,2770.553686,2304.104478,3140.10725,2820.585088
3/5/2010,103205.26,2057.49543,2992.423081,3080.872835,2559.386973,2026.942401,2763.157895,2344.216395,2386.556715,2368.642632,2092.534175,2574.191749,2367.647901,2393.010093,2325.939576,2461.08437,2623.691722,2976.683938,2516.638866,2117.449673,2529.593286,2228.976799,2462.42485,2689.655172,2126.600284,2829.116129,2601.265336,2736.56229,2867.592696,2500,3079.009349,2667.785235,2196.18854,2151.184999,2916.285029,3587.547408,2647.176313,2705.404717,2403.606965,3032.676312,3218.041778
3/12/2010,103898.47,2157.051811,2613.63514,3231.707106,2655.172414,2026.942401,2763.157895,2367.418032,2480.736406,2352.551359,2339.642482,2512.365614,2425.707645,2357.347165,2324.399229,2499.921637,2642.721218,3111.398964,2520.799077,2130.872324,2523.682682,2203.647577,2457.41483,2778.325123,2115.931721,2928.958298,2466.244277,2737.346176,2887.276034,2534.246433,3033.017534,2600.671141,2266.240933,1971.521184,2975.72301,3781.949811,2797.870819,2671.115579,2307.21393,3030.43782,3316.082424
3/19/2010,102549.09,2128.391752,2727.272351,3335.686756,2664.750958,1966.635369,2680.921053,2440.338364,2613.440443,2273.703866,1656.15142,2172.887515,2359.468497,2357.347165,2293.591984,2438.070232,2668.886775,2930.051813,2500,2312.080485,2621.202894,1770.51678,2542.58517,2642.857143,2261.73542,2903.997124,2440.927886,2693.486135,2808.790551,2465.753567,2989.386089,2600.671141,2258.399485,1792.813225,2939.048725,3801.670839,2802.176347,2743.122179,2381.840796,3090.868765,3477.561767
3/26/2010,103395.25,2217.388864,2916.666321,3419.768783,2607.279693,2055.137815,3026.315789,2424.594057,2507.490575,2342.09197,1477.392219,2072.842311,2467.693151,2485.734941,2495.37896,2480.502831,2901.998097,2875.647668,2486.133948,2204.697825,2665.529744,1714.792204,2507.51503,2431.034483,2190.611664,2966.008614,2478.902816,2750.660909,2830.420576,2568.492865,2920.017498,2588.087248,2376.547223,1901.757991,2888.463293,3486.117279,2688.07917,2863.134161,2241.915423,3126.678521,3745.732101
4/2/2010,105659.55,2243.031582,2840.90749,3388.318334,2605.363985,2164.786899,3437.5,2371.561353,2688.279817,2257.612593,1537.85489,2130.171509,2450.899037,2500,2361.367707,2442.385369,3073.263559,2958.549223,2589.168106,2261.74486,2755.660361,1742.654492,2635.270541,2463.054187,2201.280228,3061.169925,2453.586196,2743.611655,2688.281843,2945.205112,2891.519118,2567.114094,2393.798646,1913.226063,3022.515798,3777.254328,2722.52351,3216.310512,2378.731343,3263.204573,3520.81406
