Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,1.320000,1.400000,1.260000,1.320000,1.206823,39800
2010-01-08,1.390000,1.450000,1.260000,1.400000,1.279963,6300
2010-01-15,1.350000,1.470000,1.150000,1.460000,1.334819,33800
2010-01-22,1.410000,1.450000,1.350000,1.400000,1.279963,18200
2010-01-29,1.360000,1.390000,1.300000,1.350000,1.234251,17100
2010-02-05,1.350000,1.440000,1.300000,1.430000,1.307391,44400
2010-02-12,1.450000,1.500000,1.400000,1.400000,1.279963,15600
2010-02-19,1.400000,1.480000,1.350000,1.350000,1.234251,45800
2010-02-26,1.350000,1.400000,1.350000,1.350000,1.234251,14300
2010-03-05,1.370000,1.580000,1.350000,1.580000,1.444530,40600
2010-03-12,1.570000,1.600000,1.380000,1.380000,1.261678,16900
2010-03-19,1.450000,1.600000,1.430000,1.440000,1.316534,18700
2010-03-26,1.440000,1.540000,1.380000,1.540000,1.407960,11400
2010-04-02,1.540000,1.540000,1.460000,1.500000,1.371390,10300
2010-04-09,1.290000,1.500000,1.280000,1.500000,1.371390,6400
2010-04-16,1.500000,1.540000,1.420000,1.490000,1.362247,29200
2010-04-23,1.520000,1.910000,1.520000,1.870000,1.709666,44400
2010-04-30,1.780000,1.880000,1.620000,1.620000,1.481101,36600
2010-05-07,1.680000,1.990000,1.580000,1.700000,1.554241,23500
2010-05-14,1.610000,1.800000,1.560000,1.560000,1.426245,16900
2010-05-21,1.560000,1.560000,1.460000,1.500000,1.371390,13000
2010-05-28,1.450000,1.500000,1.310000,1.400000,1.279963,25800
2010-06-04,1.370000,1.480000,1.320000,1.410000,1.289106,11000
2010-06-11,1.410000,1.460000,1.320000,1.460000,1.334819,3300
2010-06-18,1.500000,1.580000,1.370000,1.420000,1.298249,7900
2010-06-25,1.370000,1.390000,1.060000,1.380000,1.261678,49400
2010-07-02,1.260000,1.440000,1.210000,1.280000,1.170253,6500
2010-07-09,1.300000,1.400000,1.200000,1.260000,1.151967,30800
2010-07-16,1.320000,1.350000,1.200000,1.200000,1.097112,35200
2010-07-23,1.300000,1.300000,1.200000,1.280000,1.170253,9300
2010-07-30,1.260000,1.270000,1.200000,1.220000,1.115397,10100
2010-08-06,1.260000,1.400000,1.220000,1.300000,1.188538,26000
2010-08-13,1.300000,1.300000,1.200000,1.250000,1.142825,20600
2010-08-20,1.250000,1.270000,1.150000,1.250000,1.142825,53700
2010-08-27,1.250000,1.370000,1.170000,1.370000,1.252536,51600
2010-09-03,1.390000,1.450000,1.250000,1.430000,1.307391,54500
2010-09-10,1.420000,1.650000,1.420000,1.650000,1.508529,36900
2010-09-17,1.620000,1.920000,1.500000,1.820000,1.663953,69400
2010-09-24,1.810000,1.850000,1.610000,1.640000,1.499386,27400
2010-10-01,1.660000,1.750000,1.430000,1.720000,1.572527,63500
2010-10-08,1.750000,1.750000,1.660000,1.660000,1.517671,21300
2010-10-15,1.660000,1.720000,1.600000,1.710000,1.563384,13900
2010-10-22,1.700000,1.750000,1.610000,1.750000,1.599955,7200
2010-10-29,1.750000,1.750000,1.650000,1.700000,1.554241,14400
2010-11-05,1.700000,1.850000,1.660000,1.760000,1.609097,23100
2010-11-12,1.950000,1.960000,1.800000,1.960000,1.791949,13800
2010-11-19,1.960000,1.960000,1.750000,1.920000,1.755379,8900
2010-11-26,1.920000,1.980000,1.870000,1.970000,1.801092,21500
2010-12-03,1.980000,1.980000,1.940000,1.940000,1.773664,2200
2010-12-10,1.980000,1.980000,1.890000,1.970000,1.801092,4600
2010-12-17,1.980000,2.000000,1.940000,2.000000,1.828520,2200
2010-12-24,2.000000,2.050000,1.960000,2.050000,1.874233,19100
2010-12-31,2.040000,2.230000,2.000000,2.100000,1.919945,16800
2011-01-07,2.080000,2.110000,1.920000,2.000000,1.828520,21800
2011-01-14,1.840000,2.250000,1.840000,2.170000,1.983944,14200
2011-01-21,2.250000,2.250000,2.120000,2.200000,2.011372,8200
2011-01-28,2.200000,2.220000,2.150000,2.220000,2.029656,5800
2011-02-04,2.210000,2.250000,2.090000,2.180000,1.993086,10900
2011-02-11,2.220000,2.220000,2.070000,2.110000,1.929088,14100
2011-02-18,2.080000,2.120000,1.970000,2.040000,1.865090,5700
