Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,23.530001,24.030001,23.070000,23.360001,12.317142,71000
2010-01-08,23.370001,23.680000,23.000000,23.510000,12.396232,75900
2010-01-15,23.629999,23.830000,23.010000,23.250000,12.259137,140500
2010-01-22,23.290001,23.440001,19.290001,19.559999,10.313494,212000
2010-01-29,19.709999,21.549999,19.530001,19.650000,10.360952,318300
2010-02-05,19.770000,20.530001,19.520000,20.520000,10.819680,98000
2010-02-12,20.290001,22.430000,20.290001,21.900000,11.547319,109000
2010-02-19,21.920000,22.150000,21.370001,21.799999,11.494594,178600
2010-02-26,21.760000,22.879999,21.219999,21.639999,11.410227,214500
2010-03-05,21.820000,22.910000,21.350000,22.299999,11.758229,176700
2010-03-12,22.500000,23.270000,22.260000,23.180000,12.222239,267400
2010-03-19,23.330000,24.790001,23.000000,24.420000,12.876054,343700
2010-03-26,24.600000,24.790001,22.850000,23.430000,12.354053,257800
2010-04-02,23.440001,24.879999,23.379999,24.600000,13.244771,145500
2010-04-09,24.010000,24.780001,22.870001,23.459999,12.630985,694400
2010-04-16,23.459999,24.559999,22.799999,24.480000,13.180158,519800
2010-04-23,24.639999,25.200001,24.290001,25.100000,13.513968,286000
2010-04-30,25.660000,28.150000,19.910000,23.860001,12.846350,682300
2010-05-07,23.889999,27.150000,22.400000,26.049999,14.025452,402300
2010-05-14,25.910000,25.920000,21.730000,21.730000,11.699549,377400
2010-05-21,21.709999,24.280001,21.379999,24.139999,12.997103,434000
2010-05-28,24.150000,24.670000,23.290001,24.410000,13.142470,253000
2010-06-04,23.750000,24.930000,22.870001,24.920000,13.417058,297800
2010-06-11,24.639999,25.629999,24.120001,25.500000,13.729330,422200
2010-06-18,25.680000,25.680000,23.590000,23.590000,12.700976,438400
2010-06-25,23.760000,24.809999,22.250000,22.639999,12.189492,498100
2010-07-02,22.860001,22.860001,21.500000,22.730000,12.494796,317600
2010-07-09,22.650000,24.370001,22.650000,23.170000,12.736660,365400
2010-07-16,23.010000,23.120001,21.400000,22.870001,12.571754,403900
2010-07-23,22.680000,24.080000,22.219999,22.910000,12.593749,277300
2010-07-30,22.610001,24.309999,22.610001,23.540001,12.940057,343000
2010-08-06,23.280001,24.150000,22.940001,23.440001,12.885086,377300
2010-08-13,23.430000,24.150000,23.040001,23.240000,12.775146,276100
2010-08-20,23.200001,24.150000,23.080000,23.510000,12.923567,251300
2010-08-27,23.650000,24.379999,23.299999,24.120001,13.258889,212500
2010-09-03,24.350000,24.850000,24.120001,24.520000,13.478769,158300
2010-09-10,24.530001,25.990000,24.290001,25.780001,14.171397,280000
2010-09-17,25.920000,26.790001,25.209999,25.770000,14.165907,317500
2010-09-24,26.000000,26.889999,24.500000,25.250000,13.880052,388700
2010-10-01,25.150000,25.520000,24.590000,25.350000,14.211124,267200
2010-10-08,25.340000,25.940001,24.950001,25.590000,14.345663,263700
2010-10-15,25.680000,26.580000,25.200001,26.219999,14.698846,229200
2010-10-22,26.260000,26.450001,25.209999,25.340000,14.205517,151000
2010-10-29,25.340000,28.219999,25.230000,28.100000,15.752767,312900
2010-11-05,28.110001,28.400000,26.040001,27.200001,15.248231,261200
2010-11-12,26.910000,28.000000,26.660000,27.350000,15.332324,207300
2010-11-19,27.350000,28.490000,27.150000,28.490000,15.971395,154500
2010-11-26,28.320000,28.709999,27.230000,28.090000,15.747161,229400
2010-12-03,27.950001,29.250000,27.709999,27.730000,15.545342,215800
2010-12-10,27.840000,28.250000,25.860001,26.260000,14.721273,490300
2010-12-17,26.340000,26.709999,25.860001,26.480000,15.136795,417000
2010-12-24,26.440001,27.250000,26.200001,26.920000,15.388312,107100
2010-12-31,26.900000,27.049999,21.549999,22.059999,12.610183,1415000
2011-01-07,22.459999,23.990000,22.340000,23.290001,13.313287,722000
2011-01-14,23.350000,24.379999,23.230000,23.440001,13.399032,339000
2011-01-21,23.570000,24.690001,23.309999,24.170000,13.816320,230600
2011-01-28,24.350000,24.450001,22.750000,22.969999,13.130370,541800
2011-02-04,22.920000,23.469999,22.790001,22.980000,13.136086,422700
2011-02-11,22.910000,25.799999,22.650000,25.510000,14.582312,1093200
