Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,9.030000,10.560000,8.960000,10.510000,10.510000,2286900
2010-01-08,10.490000,11.120000,10.320000,10.880000,10.880000,1939900
2010-01-15,10.970000,10.970000,9.770000,9.790000,9.790000,742900
2010-01-22,9.790000,9.790000,8.810000,9.290000,9.290000,1076300
2010-01-29,9.320000,9.320000,8.100000,8.230000,8.230000,1561600
2010-02-05,8.300000,8.300000,7.520000,7.820000,7.820000,1875900
2010-02-12,7.700000,8.560000,7.510000,8.410000,8.410000,1186300
2010-02-19,8.310000,8.840000,7.900000,8.840000,8.840000,1974500
2010-02-26,8.900000,10.160000,8.790000,9.670000,9.670000,1734600
2010-03-05,9.700000,11.060000,9.700000,11.030000,11.030000,2858000
2010-03-12,11.080000,11.440000,10.740000,11.110000,11.110000,1989100
2010-03-19,11.060000,11.430000,10.590000,11.220000,11.220000,2313700
2010-03-26,11.220000,12.310000,10.930000,12.200000,12.200000,3055600
2010-04-02,12.320000,13.290000,12.210000,12.920000,12.920000,3880300
2010-04-09,13.050000,13.870000,12.490000,13.600000,13.600000,4103800
2010-04-16,13.500000,13.680000,12.380000,13.420000,13.420000,3211100
2010-04-23,13.360000,14.210000,13.320000,14.000000,14.000000,4254600
2010-04-30,13.900000,14.410000,10.900000,12.310000,12.310000,6697500
2010-05-07,12.150000,13.710000,11.190000,13.530000,13.530000,5253900
2010-05-14,13.310000,13.580000,10.810000,10.930000,10.930000,3665200
2010-05-21,10.530000,11.990000,10.020000,11.800000,11.800000,4337100
2010-05-28,11.830000,12.450000,11.380000,12.280000,12.280000,1734200
2010-06-04,11.920000,11.980000,10.790000,11.650000,11.650000,2747900
2010-06-11,11.550000,12.730000,11.390000,12.110000,12.110000,1635400
2010-06-18,12.030000,12.490000,11.000000,11.160000,11.160000,1958700
2010-06-25,11.120000,11.590000,9.880000,10.380000,10.380000,2352900
2010-07-02,10.420000,11.250000,10.000000,10.820000,10.820000,1141600
2010-07-09,10.770000,11.980000,10.700000,11.870000,11.870000,1775400
2010-07-16,11.720000,12.240000,10.930000,12.240000,12.240000,2312700
2010-07-23,12.170000,13.130000,12.030000,12.710000,12.710000,2042600
2010-07-30,12.630000,13.750000,12.410000,12.760000,12.760000,2438600
2010-08-06,12.600000,12.770000,11.450000,11.860000,11.860000,1753000
