Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,3.794818,4.117048,3.794818,4.031620,2.923023,1394501
2010-01-08,4.016632,4.360594,3.949938,4.328371,3.138174,1567980
2010-01-15,4.350103,4.473000,4.166507,4.170254,3.023534,1534620
2010-01-22,4.163509,4.209221,4.009888,4.019630,2.914328,1100922
2010-01-29,4.041362,4.162760,3.485328,3.507809,2.543246,1545294
2010-02-05,3.513055,3.697400,3.362431,3.677916,2.666578,1701426
2010-02-12,3.620215,3.775335,3.580498,3.743861,2.714389,902089
2010-02-19,3.692904,3.797816,3.579749,3.615719,2.621484,1019520
2010-02-26,3.628458,4.911382,3.506310,4.892648,3.584619,4650562
2010-03-05,4.938360,5.951510,4.916628,5.725200,4.194590,4470411
2010-03-12,5.749180,6.126114,5.595559,6.035440,4.421888,3049221
2010-03-19,6.105131,6.455837,5.879570,6.066913,4.444948,2239209
2010-03-26,6.114873,6.162084,5.454677,5.563336,4.076000,2668903
2010-04-02,5.605300,6.228778,5.576075,6.027946,4.416399,2256557
2010-04-09,6.006964,6.509043,5.885565,6.369660,4.666757,2241879
2010-04-16,6.351675,6.529276,6.042934,6.488810,4.754050,2051052
2010-04-23,6.508293,7.247174,6.400384,7.201462,5.276179,1964313
2010-04-30,7.180480,7.222445,5.621037,5.875824,4.304945,2700930
2010-05-07,6.003966,8.018277,5.920037,7.848919,5.750543,4075414
2010-05-14,7.769486,8.594544,6.839516,6.850756,5.019232,3454894
2010-05-21,6.677651,7.289139,6.199552,7.066575,5.177354,2730286
2010-05-28,7.050089,7.130272,5.926032,6.567494,4.840485,3608356
2010-06-04,6.306712,6.306712,5.096477,5.960503,4.393110,2588835
2010-06-11,5.879570,7.317615,5.788147,7.292136,5.374572,2684916
2010-06-18,7.352086,7.941841,7.122778,7.228440,5.327625,2710270
2010-06-25,7.266658,7.527439,6.226530,6.540516,4.820599,4934800
2010-07-02,6.603464,6.875485,6.069911,6.669408,4.915599,1910934
2010-07-09,6.688143,7.002129,6.503797,6.571990,4.843797,2377992
2010-07-16,6.459584,6.959415,6.162833,6.856751,5.053678,3045217
2010-07-23,6.819283,7.113786,6.384647,6.678401,4.922226,1902928
2010-07-30,6.679150,8.374229,6.415371,8.327019,6.137319,2871740
2010-08-06,8.102207,8.426685,6.467827,6.542764,4.822257,2723615
2010-08-13,6.561499,7.043345,6.296971,6.384647,4.705719,1485244
2010-08-20,6.383148,6.586977,5.636025,5.832360,4.298665,1269064
2010-08-27,5.936523,6.595970,5.658506,6.584729,4.853185,2341962
2010-09-03,6.706127,7.014869,6.444597,6.724862,4.988255,1099588
2010-09-10,6.746594,7.125776,6.508293,6.775819,5.026053,1545295
2010-09-17,6.851506,7.195467,6.400384,6.483564,4.809268,1325110
2010-09-24,6.616952,7.156500,6.372657,6.548759,4.857626,2025696
2010-10-01,6.635687,6.958666,6.439351,6.864994,5.092199,1539956
2010-10-08,6.888974,7.546923,6.831273,7.513950,5.573571,1752134
2010-10-15,7.660078,8.322522,7.418780,7.777729,5.769232,2060393
2010-10-22,7.801709,7.998044,7.296632,7.410537,5.496862,1080906
2010-10-29,7.376815,8.435677,7.066575,8.423687,6.248378,2028366
2010-11-05,8.392963,8.392963,7.384309,7.720027,5.726430,1738790
2010-11-12,7.624857,7.661576,6.823029,7.343843,5.447392,1650717
2010-11-19,7.340096,7.506456,6.828275,7.319863,5.429604,1266394
2010-11-26,7.235184,7.396299,6.831273,7.379063,5.473516,1183658
2010-12-03,7.355833,7.903623,7.309372,7.839178,5.846478,1241040
2010-12-10,7.862408,8.646251,7.718529,8.602787,6.415978,1674736
2010-12-17,8.639507,9.122102,8.470898,8.640256,6.443926,1812185
2010-12-24,8.619273,8.730180,8.383971,8.384720,6.253346,719269
2010-12-31,8.374978,8.572063,7.740260,8.374978,6.246081,1118271
2011-01-07,8.407951,8.906283,8.252831,8.607284,6.419334,914099
2011-01-14,8.637258,8.820854,7.952333,8.022024,5.982846,804674
2011-01-21,8.124688,8.232598,7.718529,8.083473,6.028675,958136
2011-01-28,8.123939,8.709947,7.512451,8.117194,6.053824,2886418
2011-02-04,8.135929,8.301540,7.911867,8.019027,5.980610,1078237
2011-02-11,7.995047,9.331926,7.995047,9.269728,6.913387,1640040
2011-02-18,9.338670,9.943413,8.748165,8.837341,6.590913,1630699
2011-02-25,8.939255,9.591958,8.380973,8.616276,6.426041,2105765
2011-03-04,8.653745,8.653745,7.569404,7.612867,5.702988,3014525
2011-03-11,7.548421,7.681809,6.966909,7.029856,5.266240,2197841
2011-03-18,7.178981,7.603875,6.827526,7.463742,5.591273,2676909
2011-03-25,7.492218,8.298542,7.345342,8.293297,6.212715,2297926
2011-04-01,8.389216,8.389216,7.793466,7.892383,5.912378,1991002
2011-04-08,7.987553,8.025022,7.372319,7.544674,5.651902,1721442
2011-04-15,7.522193,7.934348,7.372319,7.844423,5.876451,1946965
2011-04-22,7.815947,8.003290,7.681809,7.745506,5.802350,1016852
2011-04-29,7.797962,8.130683,7.306374,7.617363,5.706356,1657389
2011-05-06,7.851917,8.043007,7.439013,7.659328,5.737794,1737455
2011-05-13,7.696048,7.696048,6.930190,7.177482,5.376830,2104429
2011-05-20,7.124277,7.124277,6.853004,6.931688,5.192700,1620024
2011-05-27,6.942929,7.436016,6.874736,7.361078,5.514367,2368652
2011-06-03,7.193968,7.461494,6.604962,6.775819,5.105353,2793007
2011-06-10,6.700882,7.036600,6.534521,6.747343,5.083898,2088416
2011-06-17,6.814037,7.173735,6.485812,6.832022,5.147698,2883749
2011-06-24,6.856751,7.289139,6.738350,7.255417,5.466713,2283246
2011-07-01,7.241928,7.770985,7.217948,7.753749,5.842189,1425194
2011-07-08,7.616614,7.641343,7.201462,7.266658,5.475183,2385999
2011-07-15,7.347590,7.526690,6.950423,7.493717,5.646265,1417188
2011-07-22,7.457747,7.457747,6.767576,6.818533,5.137535,1542625
2011-07-29,6.744345,6.997633,5.620288,5.758172,4.338590,3113275
2011-08-05,5.844350,5.878072,5.095728,5.681736,4.280996,4104772
2011-08-12,5.745433,5.931277,5.264336,5.310048,4.000943,2028366
2011-08-19,5.205885,5.743934,4.996811,5.399973,4.068698,2524782
